chain_id,failure_model,contingency_method,reserve_ratio,n_scenarios_edge,n_scenarios_cloud,run_tag_pattern
C01,schloemer,wang_qmc,0.05,64,256,schloemer__wang_qmc__rr0p05
C02,schloemer,wang_qmc,0.15,64,256,schloemer__wang_qmc__rr0p15
C03,schloemer,wang_qmc,0.3,64,256,schloemer__wang_qmc__rr0p3
C04,schloemer,wang_mc,0.05,64,256,schloemer__wang_mc__rr0p05
C05,schloemer,wang_mc,0.15,64,256,schloemer__wang_mc__rr0p15
C06,schloemer,wang_mc,0.3,64,256,schloemer__wang_mc__rr0p3
C07,schloemer,c3po_ref,0.05,64,256,schloemer__c3po_ref__rr0p05
C08,schloemer,c3po_ref,0.15,64,256,schloemer__c3po_ref__rr0p15
C09,schloemer,c3po_ref,0.3,64,256,schloemer__c3po_ref__rr0p3
C10,schloemer,trim_ref,0.05,64,256,schloemer__trim_ref__rr0p05
C11,schloemer,trim_ref,0.15,64,256,schloemer__trim_ref__rr0p15
C12,schloemer,trim_ref,0.3,64,256,schloemer__trim_ref__rr0p3
C13,batts,wang_qmc,0.05,64,256,batts__wang_qmc__rr0p05
C14,batts,wang_qmc,0.15,64,256,batts__wang_qmc__rr0p15
C15,batts,wang_qmc,0.3,64,256,batts__wang_qmc__rr0p3
C16,batts,wang_mc,0.05,64,256,batts__wang_mc__rr0p05
C17,batts,wang_mc,0.15,64,256,batts__wang_mc__rr0p15
C18,batts,wang_mc,0.3,64,256,batts__wang_mc__rr0p3
C19,batts,c3po_ref,0.05,64,256,batts__c3po_ref__rr0p05
C20,batts,c3po_ref,0.15,64,256,batts__c3po_ref__rr0p15
C21,batts,c3po_ref,0.3,64,256,batts__c3po_ref__rr0p3
C22,batts,trim_ref,0.05,64,256,batts__trim_ref__rr0p05
C23,batts,trim_ref,0.15,64,256,batts__trim_ref__rr0p15
C24,batts,trim_ref,0.3,64,256,batts__trim_ref__rr0p3
