scenario,scenario_id,timestamp,failed_lines,outage_line_count,disconnected_load_count,probability,method
S1,0,2024-09-01 00:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 01:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 02:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 03:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 04:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 05:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 06:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 07:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 08:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 09:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 10:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 11:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 12:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 13:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 14:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 15:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 16:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 17:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 18:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-01 19:00:00,L162,1,0,0.00390625,c3po_ref
S1,0,2024-09-01 20:00:00,L138|L163,2,0,0.00390625,c3po_ref
S1,0,2024-09-01 21:00:00,L122|L129|L135|L161|L165|L179,6,1,0.00390625,c3po_ref
S1,0,2024-09-01 22:00:00,L137|L155|L157|L165|L185,5,0,0.00390625,c3po_ref
S1,0,2024-09-01 23:00:00,L130|L151|L155|L163|L164|L166|L86,7,0,0.00390625,c3po_ref
S1,0,2024-09-02 00:00:00,L119|L124|L130|L137|L156|L159|L162|L165|L167|L168|L171|L176|L178|L183|L76|L86|L91,17,1,0.00390625,c3po_ref
S1,0,2024-09-02 01:00:00,L111|L113|L116|L123|L126|L130|L137|L138|L149|L157|L158|L160|L165|L168|L173|L177|L178|L183|L185|L80,20,0,0.00390625,c3po_ref
S1,0,2024-09-02 02:00:00,L110|L111|L113|L114|L137|L152|L157|L158|L162|L175|L176|L179|L185|L70|L75|L76|L83,17,0,0.00390625,c3po_ref
S1,0,2024-09-02 03:00:00,L104|L105|L107|L111|L113|L137|L139|L148|L149|L150|L152|L153|L170|L178|L181|L185|L35|L68|L71|L75|L76|L78|L85|L93|L96|L97|L98,27,3,0.00390625,c3po_ref
S1,0,2024-09-02 04:00:00,L106|L108|L109|L110|L111|L137|L149|L150|L153|L180|L185|L35|L67|L70|L74|L77|L78|L83|L85|L87|L90|L92|L93,23,2,0.00390625,c3po_ref
S1,0,2024-09-02 05:00:00,L102|L104|L106|L108|L109|L110|L111|L112|L139|L146|L148|L149|L151|L153|L154|L177|L41|L62|L67|L68|L71|L72|L73|L74|L75|L78|L79|L80|L82|L83|L84|L86|L87|L88|L89|L90|L91|L92|L94|L95,40,5,0.00390625,c3po_ref
S1,0,2024-09-02 06:00:00,L104|L106|L107|L108|L109|L110|L111|L141|L142|L143|L144|L145|L146|L147|L148|L149|L150|L152|L41|L66|L67|L70|L72|L80|L81|L85|L86|L89|L90|L91|L92|L93|L94|L98,34,5,0.00390625,c3po_ref
S1,0,2024-09-02 07:00:00,L103|L104|L105|L106|L107|L108|L109|L110|L112|L141|L143|L144|L145|L146|L150|L153|L42|L49|L53|L60|L62|L64|L65|L66|L70|L71|L79|L80|L81|L82|L83|L85|L86|L87|L89|L90|L92|L93|L94|L95|L96|L97|L98|L99,44,8,0.00390625,c3po_ref
S1,0,2024-09-02 08:00:00,L100|L101|L102|L103|L104|L105|L106|L107|L108|L110|L112|L141|L142|L143|L144|L145|L146|L147|L152|L23|L24|L48|L53|L56|L60|L61|L64|L65|L66|L69|L80|L82|L83|L85|L86|L87|L88|L89|L90|L91|L92|L93|L95|L96|L97|L99,46,11,0.00390625,c3po_ref
S1,0,2024-09-02 09:00:00,L100|L101|L102|L103|L104|L105|L106|L108|L110|L112|L143|L144|L146|L147|L148|L149|L42|L49|L53|L54|L56|L59|L60|L61|L64|L65|L80|L82|L85|L87|L90|L91|L92|L93|L94|L95|L96|L97|L99,39,5,0.00390625,c3po_ref
