line_id,input_p_mean,empirical_p_mean,absolute_error_mean
L108,0.1973124901518777,0.1991644965277778,0.0018520063759000782
L106,0.16678183276737168,0.1679144965277778,0.0011326637604061052
L147,0.1564061844020873,0.15625,0.00015618440208731155
L85,0.11049981005366141,0.11241319444444445,0.001913384390783035
L103,0.11014054927311173,0.11170789930555555,0.0015673500324438205
L92,0.1098753331935188,0.11089409722222222,0.00101876402870342
L87,0.10979272345487384,0.11127387152777778,0.0014811480729039345
L91,0.10920007464160608,0.1076388888888889,0.0015611857527171868
L89,0.1090717108271437,0.10899522569444445,7.64851326992555e-05
L86,0.10724023825299829,0.10530598958333333,0.001934248669664962
L90,0.10653990301190738,0.10481770833333333,0.0017221946785740544
L102,0.1060674897354512,0.10856119791666667,0.0024937081812154704
L105,0.10602954726366219,0.1062282986111111,0.00019875134744891387
L100,0.10564856907316152,0.10557725694444445,7.131212871706871e-05
L95,0.10446491677892497,0.10264756944444445,0.0018173473344805235
L88,0.10429955003048262,0.10362413194444445,0.0006754180860381737
L96,0.10312887440568984,0.10552300347222222,0.0023941290665323856
L107,0.10282427380229214,0.10384114583333333,0.0010168720310411855
L101,0.10265274868564764,0.10579427083333333,0.003141522147685691
L110,0.09915165434496079,0.09971788194444445,0.0005662275994836596
L98,0.09886417236224845,0.09901258680555555,0.00014841444330709885
L97,0.09886417236224845,0.09716796875,0.0016962036122484536
L99,0.09619528678196751,0.0979275173611111,0.0017322305791435955
L94,0.09399939627990156,0.09288194444444445,0.0011174518354571117
L93,0.09300836873474089,0.09049479166666667,0.002513577068074216
L104,0.09005932793299505,0.08946397569444445,0.0005953522385506033
L111,0.08753631932160169,0.08734809027777778,0.0001882290438239148
L112,0.0802588484970104,0.0808376736111111,0.0005788251141007061
L81,0.07255624803323564,0.07405598958333333,0.0014997415500976885
L80,0.07255624803323564,0.07313368055555555,0.0005774325223199123
L144,0.07237320391763016,0.0710720486111111,0.0013011553065190584
L185,0.07077539398370969,0.07074652777777778,2.8866205931912803e-05
L153,0.070093778894454,0.0685763888888889,0.0015173900055651113
L148,0.06985473362499166,0.06993272569444445,7.799206945278969e-05
L150,0.06886502049355646,0.06917317708333333,0.0003081565897768701
L149,0.06886502049355646,0.06754557291666667,0.0013194475768897873
L145,0.06881010251862342,0.0696072048611111,0.000797102342487685
L137,0.06505945187298491,0.06494140625,0.00011804562298491084
L61,0.06475204346625286,0.06461588541666667,0.0001361580495861936
L146,0.0620956282300513,0.06016710069444445,0.0019285275356068499
L79,0.05989616032951729,0.059516059027777776,0.00038010130173951606
L78,0.0592997253660154,0.060709635416666664,0.0014099100506512613
L143,0.056480817819473145,0.05409071180555555,0.0023901060139175923
L113,0.05615099193020037,0.0546875,0.0014634919302003724
L82,0.0539011333343573,0.05311414930555555,0.0007869840288017502
L83,0.0539011333343573,0.05409071180555555,0.00018957847119824983
L142,0.05088327797037695,0.052788628472222224,0.0019053505018452738
L109,0.05043173210517964,0.050726996527777776,0.0002952644225981335
L151,0.049021798535820386,0.04796006944444445,0.001061729091375939
L152,0.049021798535820386,0.04920789930555555,0.00018610076973516604
L48,0.04757142886306365,0.046223958333333336,0.0013474705297303116
L141,0.04699033326451443,0.046875,0.00011533326451443338
L154,0.0467865647099769,0.0458984375,0.0008881272099768994
L77,0.0450132492454033,0.044976128472222224,3.7120773181076316e-05
L68,0.04399907151049819,0.04416232638888889,0.00016325487839069508
L67,0.04399907151049819,0.04383680555555555,0.00016226595494264057
L66,0.04243927163641007,0.043131510416666664,0.0006922387802565932
L41,0.04243277253778113,0.042805989583333336,0.000373217045552203
L72,0.04142824372746864,0.04188368055555555,0.00045543682808691505
L74,0.04012757972947089,0.04139539930555555,0.0012678195760846625
L138,0.03976625143088898,0.04014756944444445,0.0003813180135554678
L65,0.039488795749170136,0.04025607638888889,0.0007672806397187523
L64,0.03924488101746984,0.03944227430555555,0.0001973932880857121
L75,0.037619263145931524,0.03770616319444445,8.690004851292371e-05
L71,0.037611391524031146,0.03786892361111111,0.00025753208707996605
L70,0.036371633322847575,0.036566840277777776,0.00019520695493020074
L158,0.036321723236132024,0.034993489583333336,0.0013282336527986882
L63,0.03523745503853506,0.035319010416666664,8.15553781316064e-05
L155,0.03459623858585835,0.0341796875,0.0004165510858583493
L73,0.03389395147611839,0.033365885416666664,0.0005280660594517289
L11,0.03378854546918446,0.03293185763888889,0.0008566878302955702
L62,0.032642446221783326,0.03200954861111111,0.0006328976106722145
L60,0.03228673628723383,0.029893663194444444,0.0023930730927893863
L69,0.031918461188901695,0.03200954861111111,9.108742220941685e-05
L139,0.0316443379784018,0.03249782986111111,0.0008534918827093133
L59,0.03096056957332012,0.031032986111111112,7.241653779099105e-05
L84,0.02960607721141569,0.030327690972222224,0.0007216137608065352
L156,0.028537370314252814,0.027615017361111112,0.0009223529531417023
L58,0.028323223947269476,0.027560763888888888,0.0007624600583805881
L171,0.027995175755526472,0.027452256944444444,0.0005429188110820278
L57,0.026596569798037595,0.025824652777777776,0.0007719170202598186
L56,0.026365625555585265,0.0283203125,0.0019546869444147345
L159,0.026137455090730167,0.025227864583333332,0.0009095905073968347
L55,0.025702661177775057,0.025553385416666668,0.00014927576110838892
L157,0.025579056901289112,0.025119357638888888,0.000459699262400224
L54,0.02421402905927312,0.026095920138888888,0.001881891079615769
L76,0.024032046478551203,0.023763020833333332,0.0002690256452178713
L53,0.023650156171683385,0.023546006944444444,0.00010414922723894077
L49,0.02149186422601051,0.021104600694444444,0.0003872635315660643
L179,0.021110712103671554,0.021050347222222224,6.036488144933044e-05
L177,0.02028557970483146,0.019259982638888888,0.0010255970659425705
L162,0.01946450085039492,0.020399305555555556,0.0009348047051606356
L167,0.01942964851130559,0.018337673611111112,0.001091974900194477
L176,0.018949212905989138,0.019965277777777776,0.0010160648717886384
L170,0.01869286755330484,0.018825954861111112,0.00013308730780627054
L31,0.018628951010921293,0.018229166666666668,0.00039978434425462506
L140,0.018100801066813093,0.016927083333333332,0.0011737177334797608
L160,0.01796432628882199,0.019097222222222224,0.001132895933400234
L178,0.01795848119174467,0.018446180555555556,0.00048769936381088536
L161,0.017360065091699486,0.017632378472222224,0.00027231338052273804
L175,0.016802658662326293,0.016872829861111112,7.017119878481928e-05
L169,0.016324684203364095,0.016981336805555556,0.0006566526021914605
L180,0.01629454773081985,0.016547309027777776,0.00025276129695792765
L173,0.016290092599870788,0.015733506944444444,0.0005565856554263435
L130,0.015994570479481617,0.015082465277777778,0.0009121052017038393
L168,0.015684862168610012,0.015896267361111112,0.0002114051925010997
L172,0.014801481063417906,0.014594184027777778,0.00020729703564012839
L24,0.014551449903668807,0.013400607638888888,0.0011508422647799194
L163,0.014354374256526494,0.015462239583333334,0.0011078653268068398
L116,0.014196903973266787,0.014322916666666666,0.00012601269339987918
L166,0.014069352940329936,0.014051649305555556,1.770363477437975e-05
L165,0.013990456264273511,0.013997395833333334,6.939569059822778e-06
L181,0.013654647486217248,0.012532552083333334,0.0011220954028839138
L13,0.013634185843211383,0.01318359375,0.0004505920932113827
L174,0.013203590318957738,0.014322916666666666,0.001119326347708928
L42,0.013120941105615668,0.014051649305555556,0.0009307081999398881
L115,0.012488430282023613,0.011935763888888888,0.0005526663931347247
L23,0.012220235158218726,0.012586805555555556,0.0003665703973368302
L30,0.012163125864418867,0.011501736111111112,0.0006613897533077548
L29,0.011857771982925942,0.012315538194444444,0.00045776621151850244
L183,0.011687036367639018,0.01220703125,0.0005199948823609822
L133,0.011625676563614665,0.011990017361111112,0.0003643407974964468
L114,0.011017514257466767,0.01171875,0.0007012357425332325
L164,0.010807865316963863,0.011610243055555556,0.000802377738591693
L182,0.010756980386811502,0.010308159722222222,0.00044882066458928026
L12,0.010640968355997404,0.010687934027777778,4.696567178037389e-05
L136,0.010224602279860677,0.01025390625,2.9303970139322663e-05
L129,0.01020273776476013,0.011338975694444444,0.001136237929684314
L128,0.01020273776476013,0.010796440972222222,0.0005937032074620919
L135,0.010121413263098204,0.009874131944444444,0.00024728131865375987
L14,0.009950966898191548,0.00927734375,0.0006736231481915475
L123,0.009629501519310576,0.009874131944444444,0.00024463042513386823
L32,0.009130065517148619,0.009223090277777778,9.30247606291592e-05
L22,0.008922839145530055,0.009657118055555556,0.0007342789100255008
L125,0.008909494974069286,0.00927734375,0.00036784877593071426
L134,0.008788751013627133,0.009548611111111112,0.0007598600974839786
L26,0.008652543864388927,0.008246527777777778,0.00040601608661114917
L127,0.008198444773339801,0.007975260416666666,0.000223184356673135
L20,0.008121037465786086,0.008355034722222222,0.0002339972564361359
L33,0.007666677659661663,0.007161458333333333,0.0005052193263283301
L119,0.007418360953968056,0.007595486111111111,0.00017712515714305484
L21,0.007220784478644163,0.007595486111111111,0.0003747016324669476
L34,0.007195033421013856,0.0068359375,0.0003590959210138557
L36,0.007161563906162582,0.008138020833333334,0.0009764569271707522
L132,0.0070902763117521765,0.006673177083333333,0.0004170992284188435
L124,0.006868583567931576,0.006401909722222222,0.000466673845709354
L28,0.006860699175757375,0.006564670138888889,0.0002960290368684863
L122,0.006437362760596351,0.006781684027777778,0.000344321267181427
L37,0.006436955282872874,0.005750868055555556,0.0006860872273173179
L126,0.006382218914685631,0.007649739583333333,0.0012675206686477017
L27,0.005933322854662185,0.006727430555555556,0.0007941077008933707
L35,0.005784385425259967,0.005045572916666667,0.0007388125085933004
L118,0.005645516429128406,0.005750868055555556,0.00010535162642714979
L131,0.005619615528088987,0.005805121527777778,0.00018550599968879082
L25,0.005552310604859857,0.005696614583333333,0.000144303978473476
L38,0.005542845099183722,0.0048828125,0.0006600325991837222
L51,0.005320353316789682,0.005425347222222222,0.00010499390543253998
L40,0.00508542645178223,0.005099826388888889,1.4399937106658774e-05
L117,0.004469677104572684,0.004937065972222222,0.00046738886764953816
L16,0.004400764400074529,0.005154079861111111,0.0007533154610365822
L50,0.004386862832549506,0.004557291666666667,0.000170428834117161
L39,0.003799372727199737,0.0025499131944444445,0.0012494595327552926
L44,0.0035709064027893513,0.0035264756944444445,4.443070834490685e-05
L8,0.00347041475166338,0.0030924479166666665,0.0003779668349967137
L5,0.0033580698801994207,0.0037977430555555555,0.0004396731753561348
L52,0.003095477953774736,0.0023328993055555555,0.0007625786482191805
L17,0.0029579858689293037,0.002875434027777778,8.255184115152575e-05
L120,0.0029269415226809096,0.0029296875,2.7459773190904174e-06
L6,0.0028694528956037836,0.0027669270833333335,0.00010252581227045013
L19,0.002672187944906982,0.0032552083333333335,0.0005830203884263515
L121,0.0026403009747209332,0.0026041666666666665,3.6134308054266723e-05
L7,0.0026221286547880147,0.002983940972222222,0.0003618123174342074
L18,0.002522219451858231,0.002170138888888889,0.000352080562969342
L15,0.002323544706371352,0.002007378472222222,0.0003161662341491299
