timestamp,wind_renewables_ninja_wind_electricity,pv_renewables_ninja_pv_electricity,load_load_load_region1,load_load_load_region2,pv_renewables_ninja_pv_irradiance_direct,pv_renewables_ninja_pv_irradiance_diffuse,pv_renewables_ninja_pv_temperature,wind_renewables_ninja_wind_wind_speed
2024-01-01 00:00:00,0.135,0.026,55063.58725,16334.70375,0.001,0.047,15.094,5.534
2024-01-01 01:00:00,0.133,0.074,51220.34398,15273.35743,0.003,0.098,15.831,5.516
2024-01-01 02:00:00,0.111,0.122,47188.44683,14387.26197,0.006,0.148,16.767,5.208
2024-01-01 03:00:00,0.085,0.16,43872.37409,13637.95753,0.008,0.187,17.774,4.79
2024-01-01 04:00:00,0.059,0.196,40657.82764,13413.33905,0.012,0.223,18.782,4.316
2024-01-01 05:00:00,0.039,0.218,38866.03246,13048.32382,0.018,0.244,19.63,3.862
2024-01-01 06:00:00,0.034,0.239,37767.53809,13886.58064,0.031,0.255,20.474,3.721
2024-01-01 07:00:00,0.036,0.186,38098.5877,15996.33928,0.028,0.199,20.807,3.786
2024-01-01 08:00:00,0.035,0.092,36152.07989,16319.59594,0.014,0.11,20.533,3.755
2024-01-01 09:00:00,0.035,0.006,38053.32439,17540.04152,0.003,0.021,18.672,3.758
2024-01-01 10:00:00,0.038,0.0,42214.98161,18329.23422,0.0,0.0,17.263,3.838
2024-01-01 11:00:00,0.037,0.0,45595.28436,18794.43073,0.0,0.0,16.804,3.794
2024-01-01 12:00:00,0.035,0.0,45168.73599,18239.47428,0.0,0.0,16.377,3.741
2024-01-01 13:00:00,0.036,0.0,43397.78796,17649.43777,0.0,0.0,16.027,3.788
2024-01-01 14:00:00,0.041,0.0,43530.46906,17848.76089,0.0,0.0,15.691,3.911
2024-01-01 15:00:00,0.047,0.0,43530.54301,18329.53971,0.0,0.0,15.4,4.046
2024-01-01 16:00:00,0.055,0.0,44490.85131,18743.43432,0.0,0.0,15.165,4.22
2024-01-01 17:00:00,0.061,0.0,47356.82554,19878.00648,0.0,0.0,14.829,4.354
2024-01-01 18:00:00,0.066,0.0,50395.42744,20917.02975,0.0,0.0,14.402,4.461
2024-01-01 19:00:00,0.069,0.0,53512.29641,21848.35616,0.0,0.0,13.995,4.517
2024-01-01 20:00:00,0.081,0.0,51216.46691,21263.11283,0.0,0.0,13.581,4.723
2024-01-01 21:00:00,0.093,0.0,50538.63635,20208.25219,0.0,0.0,13.241,4.93
2024-01-01 22:00:00,0.093,0.0,48877.63885,19386.5027,0.0,0.0,13.142,4.926
2024-01-01 23:00:00,0.08,0.016,45190.42109,17659.46442,0.007,0.03,13.951,4.705
2024-01-02 00:00:00,0.045,0.14,55408.24543,16382.32096,0.042,0.13,16.146,4.007
2024-01-02 01:00:00,0.057,0.274,51437.52542,15249.24486,0.099,0.224,18.541,4.261
2024-01-02 02:00:00,0.06,0.364,48067.27779,14685.72825,0.139,0.292,20.53,4.336
2024-01-02 03:00:00,0.056,0.452,45505.82345,13794.9309,0.213,0.331,21.963,4.241
2024-01-02 04:00:00,0.052,0.517,42047.62778,13214.91112,0.302,0.331,23.276,4.167
2024-01-02 05:00:00,0.053,0.545,40425.02055,12930.99546,0.383,0.292,24.306,4.193
2024-01-02 06:00:00,0.053,0.437,39719.50561,13433.58851,0.256,0.275,24.561,4.194
2024-01-02 07:00:00,0.04,0.247,41001.95866,14904.71555,0.083,0.217,24.055,3.875
2024-01-02 08:00:00,0.019,0.093,50268.58272,15916.22704,0.019,0.107,22.998,3.255
2024-01-02 09:00:00,0.01,0.002,66226.13991,18690.48328,0.002,0.016,21.039,2.842
2024-01-02 10:00:00,0.011,0.0,71182.63313,20191.7964,0.0,0.0,19.932,2.875
