scenario,expected_fail_lines,probability
S1,6,0.070333
S2,4,0.069333
S3,5,0.063
S4,3,0.061
S5,7,0.06
S6,2,0.059
S7,8,0.057667
S8,9,0.055667
S9,10,0.053667
S10,12,0.051333
S11,11,0.05
S12,13,0.042
S13,14,0.038333
S14,16,0.03
S15,1,0.029333
S16,15,0.026667
S17,0,0.024
S18,18,0.024
S19,17,0.022333
S20,19,0.018667
S21,20,0.017667
S22,21,0.014
S23,22,0.009667
S24,23,0.009
S25,24,0.007
S26,25,0.006667
S27,27,0.006667
S28,28,0.006333
S29,26,0.005667
S30,29,0.002667
S31,30,0.002667
S32,32,0.002333
S33,31,0.001333
S34,35,0.001
S35,33,0.000333
S36,34,0.000333
S37,42,0.000333
