load_bus,priority_level,priority_weight,demand_share
0,1,1.0,0.01702193115429501
1,1,1.0,0.02244256140512965
2,1,1.0,0.015139788161334728
3,1,1.0,0.013708033848208422
5,1,1.0,0.024201256315213773
6,1,1.0,0.014516346474610201
7,1,1.0,0.018886503965378727
10,1,1.0,0.01773995948800554
11,1,1.0,0.024188007111447658
12,1,1.0,0.012161348515580912
13,1,1.0,0.029323637463012506
14,1,1.0,0.010133928560995167
15,1,1.0,0.019665019346715953
16,1,1.0,0.018244659995437083
17,1,1.0,0.009491250318641946
18,1,1.0,0.020701506424289032
19,1,1.0,0.012798950872306453
20,1,1.0,0.007338870356578779
21,1,1.0,0.022346995682325562
22,1,1.0,0.005360856948130153
23,1,1.0,0.008388651812171934
26,1,1.0,0.015025983356587324
27,1,1.0,0.024089991436650048
28,1,1.0,0.021504674111661896
30,1,1.0,0.016850015108185453
31,1,1.0,0.004026156514500291
32,1,1.0,0.009808411600661524
33,1,1.0,0.011380744210243729
34,1,1.0,0.007080968762480098
35,1,1.0,0.003144922519680001
38,2,0.5,0.009790145880521624
39,2,0.5,0.01508361128978631
40,2,0.5,0.0061294026266286985
41,2,0.5,0.016767180369841816
42,2,0.5,0.0020473346722694936
43,2,0.5,0.0032754956028371316
44,2,0.5,0.009622421577264787
45,2,0.5,0.00566473637881521
46,2,0.5,0.014155321457078731
47,2,0.5,0.012438484494800795
48,2,0.5,0.006042789470041664
49,2,0.5,0.0022897751969530454
50,2,0.5,0.005425306264593818
51,2,0.5,0.012673306201073781
52,2,0.5,0.014581805658129384
53,2,0.5,0.0056875535466411956
54,2,0.5,0.0010642068620226068
55,2,0.5,0.0019129311802652002
56,2,0.5,0.011891796265923644
57,2,0.5,0.005952349731078891
58,2,0.5,0.006083729802665231
59,2,0.5,0.0032191672934947777
61,2,0.5,0.0031547471057617326
65,2,0.5,0.016558173382087128
66,2,0.5,0.012222160366549694
69,2,0.5,0.0047564009604758924
71,2,0.5,0.009057176990116291
72,2,0.5,0.010381960345360182
73,2,0.5,0.027246067939285336
74,2,0.5,0.0028767412969208537
75,3,0.2,0.00047351424412495844
76,3,0.2,0.0061411791096623826
77,3,0.2,0.0065209691259697465
78,3,0.2,0.0019750617557243557
79,3,0.2,0.0003076438870862036
81,3,0.2,0.018316529667895858
82,3,0.2,0.005421177824463625
83,3,0.2,0.009986525875882881
84,3,0.2,0.002367622930274236
85,3,0.2,0.011250404358266452
87,3,0.2,0.01101464895664426
89,3,0.2,0.0006250143981189465
90,3,0.2,0.03645165154482715
91,3,0.2,0.004520535358753634
92,3,0.2,0.009380421951122998
93,3,0.2,0.0016354750274228647
94,3,0.2,0.0066024709277722185
95,3,0.2,0.0019209900433109826
96,3,0.2,0.010831259727751261
97,3,0.2,0.0031077216216079005
98,3,0.2,0.005228557552628609
99,3,0.2,0.0035439062402658128
100,3,0.2,0.005056841087062563
101,3,0.2,0.003169633616681737
102,3,0.2,0.004113830886728793
103,3,0.2,0.00019275140263543648
104,3,0.2,0.010653846788093096
105,3,0.2,0.016842367350211353
106,3,0.2,0.003898846512257162
107,3,0.2,0.02284500199081561
108,3,0.2,0.0011280363127952164
109,3,0.2,0.01868789994189311
111,3,0.2,0.002445199597312452
112,3,0.2,0.004487396760996088
113,3,0.2,0.016354782320412074
114,3,0.2,0.000851799142958172
115,3,0.2,0.0012817089720622429
116,3,0.2,0.009009772390698742
117,3,0.2,0.0065927907470643655
