line,hour,failure_prob
L0,2024-09-01 00:00:00,0.0
L1,2024-09-01 00:00:00,0.0
L2,2024-09-01 00:00:00,0.0
L3,2024-09-01 00:00:00,0.0
L4,2024-09-01 00:00:00,0.0
L5,2024-09-01 00:00:00,0.0
L6,2024-09-01 00:00:00,0.0
L7,2024-09-01 00:00:00,0.0
L8,2024-09-01 00:00:00,0.0
L9,2024-09-01 00:00:00,0.0
L10,2024-09-01 00:00:00,0.0
L11,2024-09-01 00:00:00,0.0
L12,2024-09-01 00:00:00,0.0
L13,2024-09-01 00:00:00,0.0
L14,2024-09-01 00:00:00,0.0
L15,2024-09-01 00:00:00,0.0
L16,2024-09-01 00:00:00,0.0
L17,2024-09-01 00:00:00,0.0
L18,2024-09-01 00:00:00,0.0
L19,2024-09-01 00:00:00,0.0
L20,2024-09-01 00:00:00,0.0
L21,2024-09-01 00:00:00,0.0
L22,2024-09-01 00:00:00,0.0
L23,2024-09-01 00:00:00,0.0
L24,2024-09-01 00:00:00,0.0
L25,2024-09-01 00:00:00,0.0
L26,2024-09-01 00:00:00,0.0
L27,2024-09-01 00:00:00,0.0
L28,2024-09-01 00:00:00,0.0
L29,2024-09-01 00:00:00,0.0
L30,2024-09-01 00:00:00,0.0
L31,2024-09-01 00:00:00,0.0
L32,2024-09-01 00:00:00,0.0
L33,2024-09-01 00:00:00,0.0
L34,2024-09-01 00:00:00,0.0
L35,2024-09-01 00:00:00,4.440892098500626e-16
L36,2024-09-01 00:00:00,0.0
L37,2024-09-01 00:00:00,0.0
L38,2024-09-01 00:00:00,1.3322676295501878e-15
L39,2024-09-01 00:00:00,2.220446049250313e-15
L40,2024-09-01 00:00:00,0.0
L41,2024-09-01 00:00:00,0.0
L42,2024-09-01 00:00:00,0.0
L43,2024-09-01 00:00:00,0.0
L44,2024-09-01 00:00:00,0.0
L45,2024-09-01 00:00:00,0.0
L46,2024-09-01 00:00:00,0.0
L47,2024-09-01 00:00:00,0.0
L48,2024-09-01 00:00:00,0.0
L49,2024-09-01 00:00:00,0.0
L50,2024-09-01 00:00:00,0.0
L51,2024-09-01 00:00:00,0.0
L52,2024-09-01 00:00:00,0.0
L53,2024-09-01 00:00:00,0.0
L54,2024-09-01 00:00:00,0.0
L55,2024-09-01 00:00:00,0.0
L56,2024-09-01 00:00:00,0.0
L57,2024-09-01 00:00:00,0.0
L58,2024-09-01 00:00:00,0.0
L59,2024-09-01 00:00:00,0.0
L60,2024-09-01 00:00:00,0.0
L61,2024-09-01 00:00:00,0.0
L62,2024-09-01 00:00:00,0.0
L63,2024-09-01 00:00:00,0.0
L64,2024-09-01 00:00:00,0.0
L65,2024-09-01 00:00:00,0.0
L66,2024-09-01 00:00:00,0.0
L67,2024-09-01 00:00:00,0.0
L68,2024-09-01 00:00:00,0.0
L69,2024-09-01 00:00:00,0.0
L70,2024-09-01 00:00:00,0.0
L71,2024-09-01 00:00:00,0.0
L72,2024-09-01 00:00:00,0.0
L73,2024-09-01 00:00:00,0.0
L74,2024-09-01 00:00:00,0.0
L75,2024-09-01 00:00:00,4.440892098500626e-16
L76,2024-09-01 00:00:00,4.440892098500626e-16
L77,2024-09-01 00:00:00,0.0
L78,2024-09-01 00:00:00,4.440892098500626e-16
L79,2024-09-01 00:00:00,4.440892098500626e-16
L80,2024-09-01 00:00:00,4.440892098500626e-16
L81,2024-09-01 00:00:00,4.440892098500626e-16
L82,2024-09-01 00:00:00,0.0
L83,2024-09-01 00:00:00,0.0
L84,2024-09-01 00:00:00,4.440892098500626e-16
L85,2024-09-01 00:00:00,4.440892098500626e-16
L86,2024-09-01 00:00:00,4.440892098500626e-16
L87,2024-09-01 00:00:00,4.440892098500626e-16
L88,2024-09-01 00:00:00,4.440892098500626e-16
L89,2024-09-01 00:00:00,4.440892098500626e-16
L90,2024-09-01 00:00:00,4.440892098500626e-16
L91,2024-09-01 00:00:00,4.440892098500626e-16
L92,2024-09-01 00:00:00,0.0
L93,2024-09-01 00:00:00,4.440892098500626e-16
L94,2024-09-01 00:00:00,0.0
L95,2024-09-01 00:00:00,4.440892098500626e-16
L96,2024-09-01 00:00:00,4.440892098500626e-16
L97,2024-09-01 00:00:00,0.0
L98,2024-09-01 00:00:00,0.0
L99,2024-09-01 00:00:00,0.0
L100,2024-09-01 00:00:00,0.0
L101,2024-09-01 00:00:00,0.0
L102,2024-09-01 00:00:00,0.0
L103,2024-09-01 00:00:00,0.0
L104,2024-09-01 00:00:00,0.0
L105,2024-09-01 00:00:00,0.0
L106,2024-09-01 00:00:00,0.0
L107,2024-09-01 00:00:00,0.0
L108,2024-09-01 00:00:00,0.0
L109,2024-09-01 00:00:00,0.0
L110,2024-09-01 00:00:00,0.0
L111,2024-09-01 00:00:00,0.0
L112,2024-09-01 00:00:00,0.0
L113,2024-09-01 00:00:00,1.4432899320127037e-15
L114,2024-09-01 00:00:00,1.3322676295501878e-15
L115,2024-09-01 00:00:00,8.881784197001252e-16
L116,2024-09-01 00:00:00,8.881784197001252e-16
L117,2024-09-01 00:00:00,3.552713678800501e-15
L118,2024-09-01 00:00:00,2.220446049250313e-15
L119,2024-09-01 00:00:00,1.7763568394002505e-15
L120,2024-09-01 00:00:00,4.884981308350689e-15
L121,2024-09-01 00:00:00,1.1546319456101628e-14
L122,2024-09-01 00:00:00,2.220446049250313e-15
L123,2024-09-01 00:00:00,1.3322676295501878e-15
L124,2024-09-01 00:00:00,1.7763568394002505e-15
L125,2024-09-01 00:00:00,1.3322676295501878e-15
L126,2024-09-01 00:00:00,1.7763568394002505e-15
L127,2024-09-01 00:00:00,1.7763568394002505e-15
L128,2024-09-01 00:00:00,1.7763568394002505e-15
L129,2024-09-01 00:00:00,1.7763568394002505e-15
L130,2024-09-01 00:00:00,8.881784197001252e-16
L131,2024-09-01 00:00:00,3.996802888650564e-15
L132,2024-09-01 00:00:00,3.996802888650564e-15
L133,2024-09-01 00:00:00,2.220446049250313e-15
L134,2024-09-01 00:00:00,3.552713678800501e-15
L135,2024-09-01 00:00:00,3.552713678800501e-15
L136,2024-09-01 00:00:00,3.1086244689504387e-15
L137,2024-09-01 00:00:00,3.552713678800501e-15
L138,2024-09-01 00:00:00,6.217248937900877e-15
L139,2024-09-01 00:00:00,4.440892098500626e-16
L140,2024-09-01 00:00:00,8.881784197001252e-16
L141,2024-09-01 00:00:00,0.0
L142,2024-09-01 00:00:00,0.0
L143,2024-09-01 00:00:00,0.0
L144,2024-09-01 00:00:00,0.0
L145,2024-09-01 00:00:00,0.0
L146,2024-09-01 00:00:00,0.0
L147,2024-09-01 00:00:00,0.0
L148,2024-09-01 00:00:00,0.0
L149,2024-09-01 00:00:00,0.0
L150,2024-09-01 00:00:00,0.0
L151,2024-09-01 00:00:00,4.440892098500626e-16
L152,2024-09-01 00:00:00,4.440892098500626e-16
L153,2024-09-01 00:00:00,4.440892098500626e-16
