scenario,expected_fail_lines,probability
S1,4,0.074333
S2,6,0.064667
S3,5,0.063
S4,7,0.062667
S5,8,0.060667
S6,2,0.059333
S7,11,0.059333
S8,3,0.058
S9,10,0.054667
S10,9,0.054333
S11,12,0.049333
S12,13,0.042667
S13,1,0.031333
S14,15,0.030333
S15,14,0.029667
S16,16,0.028667
S17,18,0.025667
S18,17,0.025
S19,0,0.021333
S20,19,0.021
S21,20,0.012667
S22,21,0.012667
S23,22,0.012
S24,23,0.010667
S25,24,0.01
S26,25,0.008
S27,26,0.005
S28,27,0.003333
S29,30,0.003
S30,28,0.001667
S31,29,0.001667
S32,32,0.001
S33,31,0.000667
S34,33,0.000667
S35,34,0.000667
S36,40,0.000333
