node,load_type,outage_prob
load_bus_116,secondary,0.033333
load_bus_51,secondary,0.015333
load_bus_20,primary,0.014333
load_bus_52,secondary,0.013
load_bus_19,primary,0.010667
load_bus_56,secondary,0.010667
load_bus_49,secondary,0.01
load_bus_100,secondary,0.009333
load_bus_28,primary,0.009333
load_bus_21,primary,0.008333
load_bus_57,secondary,0.008333
load_bus_42,secondary,0.007333
load_bus_85,secondary,0.007333
load_bus_101,secondary,0.006333
load_bus_47,secondary,0.006333
load_bus_87,secondary,0.006333
load_bus_27,primary,0.006
load_bus_43,secondary,0.006
load_bus_108,secondary,0.005667
load_bus_38,secondary,0.005667
load_bus_12,primary,0.005
load_bus_107,secondary,0.004667
load_bus_113,secondary,0.004333
load_bus_114,secondary,0.004333
load_bus_15,primary,0.004333
load_bus_77,secondary,0.004333
load_bus_78,secondary,0.004333
load_bus_83,secondary,0.004333
load_bus_40,secondary,0.004
load_bus_66,secondary,0.003667
load_bus_34,primary,0.003333
load_bus_32,primary,0.002667
load_bus_92,secondary,0.002667
load_bus_1,primary,0.002333
load_bus_50,secondary,0.002333
load_bus_82,secondary,0.002
load_bus_13,primary,0.001667
load_bus_6,primary,0.001667
load_bus_94,secondary,0.001667
load_bus_97,secondary,0.001667
load_bus_117,secondary,0.001333
load_bus_44,secondary,0.001
load_bus_96,secondary,0.001
load_bus_59,secondary,0.000667
load_bus_105,secondary,0.000333
load_bus_46,secondary,0.000333
load_bus_81,secondary,0.000333
load_bus_0,primary,0.0
load_bus_10,primary,0.0
load_bus_102,secondary,0.0
load_bus_103,secondary,0.0
load_bus_104,secondary,0.0
load_bus_106,secondary,0.0
load_bus_109,secondary,0.0
load_bus_11,primary,0.0
load_bus_111,secondary,0.0
load_bus_112,secondary,0.0
load_bus_115,secondary,0.0
load_bus_14,primary,0.0
load_bus_16,primary,0.0
load_bus_17,primary,0.0
load_bus_18,primary,0.0
load_bus_2,primary,0.0
load_bus_22,primary,0.0
load_bus_23,primary,0.0
load_bus_26,primary,0.0
load_bus_3,primary,0.0
load_bus_30,primary,0.0
load_bus_31,primary,0.0
load_bus_33,primary,0.0
load_bus_35,primary,0.0
load_bus_39,secondary,0.0
load_bus_41,secondary,0.0
load_bus_45,secondary,0.0
load_bus_48,secondary,0.0
load_bus_5,primary,0.0
load_bus_53,secondary,0.0
load_bus_54,secondary,0.0
load_bus_55,secondary,0.0
load_bus_58,secondary,0.0
load_bus_61,secondary,0.0
load_bus_65,secondary,0.0
load_bus_69,secondary,0.0
load_bus_7,primary,0.0
load_bus_71,secondary,0.0
load_bus_72,secondary,0.0
load_bus_73,secondary,0.0
load_bus_74,secondary,0.0
load_bus_75,secondary,0.0
load_bus_76,secondary,0.0
load_bus_79,secondary,0.0
load_bus_84,secondary,0.0
load_bus_89,secondary,0.0
load_bus_90,secondary,0.0
load_bus_91,secondary,0.0
load_bus_93,secondary,0.0
load_bus_95,secondary,0.0
load_bus_98,secondary,0.0
load_bus_99,secondary,0.0
