scenario,expected_fail_lines,probability
S1,4,0.072667
S2,6,0.068333
S3,7,0.066667
S4,5,0.063667
S5,2,0.061667
S6,3,0.059667
S7,9,0.058
S8,8,0.056
S9,10,0.054667
S10,12,0.054667
S11,11,0.051
S12,13,0.037
S13,14,0.037
S14,1,0.032333
S15,15,0.028
S16,16,0.026667
S17,19,0.024333
S18,17,0.023667
S19,0,0.022667
S20,18,0.019667
S21,20,0.014
S22,22,0.013667
S23,24,0.011333
S24,21,0.010333
S25,23,0.008333
S26,25,0.006333
S27,27,0.004
S28,26,0.003667
S29,28,0.003333
S30,29,0.002
S31,30,0.001333
S32,31,0.001333
S33,33,0.001
S34,34,0.000333
S35,35,0.000333
S36,39,0.000333
