scenario,expected_fail_lines,probability
S1,6,0.069333
S2,5,0.067667
S3,9,0.066333
S4,4,0.066
S5,7,0.062667
S6,3,0.061667
S7,8,0.060667
S8,11,0.056
S9,12,0.051
S10,2,0.05
S11,10,0.047
S12,1,0.045
S13,13,0.044333
S14,14,0.034667
S15,15,0.03
S16,16,0.028
S17,0,0.023
S18,17,0.022
S19,18,0.02
S20,19,0.014333
S21,22,0.014
S22,21,0.012667
S23,20,0.012
S24,23,0.011333
S25,25,0.007667
S26,24,0.007333
S27,26,0.004667
S28,27,0.003333
S29,29,0.002333
S30,28,0.002
S31,30,0.001
S32,31,0.000333
S33,32,0.000333
S34,34,0.000333
S35,35,0.000333
S36,36,0.000333
S37,40,0.000333
