scenario,expected_fail_lines,probability
S1,6,0.072
S2,8,0.068333
S3,5,0.066667
S4,7,0.063333
S5,3,0.062
S6,4,0.059667
S7,9,0.057
S8,11,0.056667
S9,10,0.055
S10,2,0.050667
S11,12,0.044
S12,13,0.043667
S13,1,0.039667
S14,14,0.039
S15,15,0.026667
S16,16,0.026667
S17,17,0.023667
S18,18,0.021667
S19,0,0.021333
S20,19,0.020333
S21,20,0.013667
S22,21,0.012667
S23,23,0.011
S24,22,0.009667
S25,24,0.007333
S26,25,0.006333
S27,26,0.004667
S28,27,0.003667
S29,29,0.003667
S30,28,0.002667
S31,31,0.002
S32,34,0.001
S33,30,0.000667
S34,33,0.000667
S35,36,0.000667
S36,32,0.000333
S37,35,0.000333
S38,37,0.000333
S39,39,0.000333
S40,42,0.000333
