epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy
1.0,0.23611123859882355,0.004751787520945072,1.0,0.0,0.0
2.0,0.061518069356679916,7.006061878200853e-06,1.0,0.0,0.0
3.0,0.008123946376144886,1.1997373803751543e-05,1.0,0.0,0.0
4.0,0.001373313250951469,8.258892194135115e-06,1.0,0.0,0.0
5.0,0.00033414646168239415,5.458548912429251e-06,1.0,0.0,0.0
6.0,0.00015256695041898638,4.333613560447702e-06,1.0,0.0,0.0
7.0,0.00011925155558856204,3.998107331426581e-06,1.0,0.0,0.0
8.0,0.00011113136861240491,3.891178494086489e-06,1.0,0.0,0.0
9.0,0.00010907732212217525,3.85612111131195e-06,1.0,0.0,0.0
10.0,0.00010872019629459828,3.8483121898025274e-06,1.0,0.0,0.0
11.0,0.00010851719707716256,3.846579147648299e-06,1.0,0.0,0.0
12.0,0.0001085067997337319,3.846895197057165e-06,1.0,0.0,0.0
13.0,0.00010851863044081256,3.847732841677498e-06,1.0,0.0,0.0
14.0,0.00010853088315343484,3.848478627332952e-06,1.0,0.0,0.0
15.0,0.00010853658022824675,3.849101631203666e-06,1.0,0.0,0.0
16.0,0.00010850733087863773,3.849475888273446e-06,1.0,0.0,0.0
17.0,0.00010854352149181068,3.849848326353822e-06,1.0,0.0,0.0
18.0,0.00010854138236027211,3.850045231956756e-06,1.0,0.0,0.0
19.0,0.00010854072024812922,3.850231678370619e-06,1.0,0.0,0.0
20.0,0.00010854292486328632,3.8504149415530264e-06,1.0,0.0,0.0
21.0,0.00010853964340640232,3.8504990698129404e-06,1.0,0.0,0.0
22.0,0.0001085443000192754,3.850576376862591e-06,1.0,0.0,0.0
23.0,0.0001085432231775485,3.850636858260259e-06,1.0,0.0,0.0
24.0,0.00010854652646230534,3.85068869945826e-06,1.0,0.0,0.0
25.0,0.00010854396532522514,3.850732809951296e-06,1.0,0.0,0.0
26.0,0.00010854484571609646,3.850750545097981e-06,1.0,0.0,0.0
27.0,0.00010854680294869468,3.850794200843666e-06,1.0,0.0,0.0
28.0,0.00010854695574380457,3.850794200843666e-06,1.0,0.0,0.0
29.0,0.00010854730498977005,3.850821030937368e-06,1.0,0.0,0.0
30.0,0.00010854735592147335,3.850838311336702e-06,1.0,0.0,0.0
31.0,0.0001085470212274231,3.8508474062837195e-06,1.0,0.0,0.0
32.0,0.00010854504216695204,3.850865141430404e-06,1.0,0.0,0.0
33.0,0.0001085468175006099,3.850873781630071e-06,1.0,0.0,0.0
34.0,0.00010854720312636346,3.850882876577089e-06,1.0,0.0,0.0
35.0,0.00010854531137738377,3.850882876577089e-06,1.0,0.0,0.0
36.0,0.0001085469702957198,3.8508915167767555e-06,1.0,0.0,0.0
37.0,0.00010854744323296472,3.850901066471124e-06,1.0,0.0,0.0
38.0,0.0001085473777493462,3.850901066471124e-06,1.0,0.0,0.0
39.0,0.00010854751599254087,3.850901066471124e-06,1.0,0.0,0.0
40.0,0.00010854755237232894,3.850910161418142e-06,1.0,0.0,0.0
41.0,0.00010854706488316879,3.850910161418142e-06,1.0,0.0,0.0
42.0,0.00010854664287762716,3.850909706670791e-06,1.0,0.0,0.0
43.0,0.00010854701395146549,3.850910161418142e-06,1.0,0.0,0.0
44.0,0.00010854723950615153,3.850918346870458e-06,1.0,0.0,0.0
45.0,0.0001085468684323132,3.850918346870458e-06,1.0,0.0,0.0
46.0,0.00010854683932848275,3.850918346870458e-06,1.0,0.0,0.0
47.0,0.00010854705033125356,3.850918346870458e-06,1.0,0.0,0.0
48.0,0.00010854729043785483,3.850918346870458e-06,1.0,0.0,0.0
49.0,0.00010854763968382031,3.8509274418174755e-06,1.0,0.0,0.0
50.0,0.0001085473777493462,3.850918346870458e-06,1.0,0.0,0.0
51.0,0.00010854693391593173,3.8509274418174755e-06,1.0,0.0,0.0
52.0,0.00010854737047338858,3.8509274418174755e-06,1.0,0.0,0.0
53.0,0.00010854750144062564,3.8509274418174755e-06,1.0,0.0,0.0
54.0,0.0001085472249542363,3.8509274418174755e-06,1.0,0.0,0.0
55.0,0.00010854724678210914,3.8509274418174755e-06,1.0,0.0,0.0
56.0,0.00010854726860998198,3.8509274418174755e-06,1.0,0.0,0.0
57.0,0.00010854726133402437,3.8509274418174755e-06,1.0,0.0,0.0
58.0,0.00010854726860998198,3.8509274418174755e-06,1.0,0.0,0.0
59.0,0.00010854733409360051,3.8509274418174755e-06,1.0,0.0,0.0
60.0,0.00010854741412913427,3.850936536764493e-06,1.0,0.0,0.0
61.0,0.00010854759602807462,3.850936536764493e-06,1.0,0.0,0.0
62.0,0.00010854762513190508,3.8509274418174755e-06,1.0,0.0,0.0
63.0,0.0001085473268176429,3.8509274418174755e-06,1.0,0.0,0.0
64.0,0.00010854680294869468,3.8509274418174755e-06,1.0,0.0,0.0
65.0,0.00010854755964828655,3.850936536764493e-06,1.0,0.0,0.0
66.0,0.00010854731226572767,3.850936536764493e-06,1.0,0.0,0.0
67.0,0.00010854763968382031,3.850936536764493e-06,1.0,0.0,0.0
68.0,0.00010854750871658325,3.850936536764493e-06,1.0,0.0,0.0
69.0,0.00010854750871658325,3.850936536764493e-06,1.0,0.0,0.0
