epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy,train_rank_loss,train_fp_loss
1.0,0.3589133322238922,0.09115667641162872,0.01,0.00865640863776207,0.9999700784683228,0.0,0.2890521287918091
2.0,0.1052934005856514,0.02744702622294426,0.02,0.004611601121723652,0.999958872795105,0.0,0.07848044484853745
3.0,0.047118280082941055,0.00911853276193142,0.03,0.002906585345044732,0.9999834299087524,0.0,0.0231005921959877
4.0,0.0351874977350235,0.0036184245254844427,0.04,0.0016288758488371968,0.9999731183052063,0.0,0.007543525658547878
5.0,0.033811502158641815,0.0017702867044135928,0.05,0.0008644093759357929,0.999973475933075,0.0,0.002899874933063984
6.0,0.03429461270570755,0.0010489777196198702,0.06,0.00043936504516750574,0.9999485611915588,0.0,0.0013609881279990077
7.0,0.03491291403770447,0.0007340030861087143,0.07,0.0002190240629715845,0.9999929666519165,0.0,0.000783891009632498
8.0,0.035332031548023224,0.0005983271985314786,0.08,0.0001108071010094136,0.999955415725708,0.0,0.0005237181321717799
9.0,0.03555513545870781,0.0005664455820806324,0.09,5.890558895771392e-05,0.9999858736991882,0.0,0.0004139515513088554
10.0,0.035658273845911026,0.0006238081841729581,0.1,3.390462734387256e-05,0.9999827742576599,0.0,0.00039144069887697697
11.0,0.035528652369976044,0.0008034368511289358,0.11,2.1687941625714302e-05,0.9999743700027466,0.0,0.0004321198211982846
12.0,0.035276513546705246,0.0012081920867785811,0.12,1.5773837731103413e-05,0.9999975562095642,0.0,0.0005832303431816399
13.0,0.03472866863012314,0.002091393806040287,0.13,1.3270246199681424e-05,0.9999890327453613,0.0,0.0009076710557565093
14.0,0.03426937758922577,0.0039006518200039864,0.14,1.301452357438393e-05,0.9999893307685852,0.0,0.0016625822754576802
15.0,0.03395828232169151,0.006391766481101513,0.15,1.4509992070088629e-05,0.9999997019767761,0.0,0.003186703659594059
16.0,0.034225501120090485,0.006795525550842285,0.16,1.5612780771334656e-05,0.9999961853027344,0.0,0.005317349918186665
17.0,0.03443465754389763,0.005239658523350954,0.17,1.1985966921201907e-05,0.9999958276748657,0.0,0.00558826606720686
18.0,0.033794961869716644,0.0036416801158338785,0.18,7.338395334954839e-06,0.9999964237213135,0.0,0.004238883964717388
19.0,0.033422987908124924,0.002689979039132595,0.19,4.271324087312678e-06,0.9999961853027344,0.0,0.002855021273717284
20.0,0.03348323330283165,0.0022621816024184227,0.2,2.6826437533600256e-06,0.999996542930603,0.0,0.0020739503670483828
21.0,0.03344298154115677,0.002202317351475358,0.21,1.9115170744044008e-06,0.9999954104423523,0.0,0.0017348825931549072
22.0,0.03342609107494354,0.002463775919750333,0.22,1.5581854313495569e-06,0.9999964833259583,0.0,0.0016495378222316504
23.0,0.03336042910814285,0.0030793340411037207,0.23,1.4418725413634093e-06,0.999998927116394,0.0,0.0018589150859043002
24.0,0.0329829603433609,0.004129902925342321,0.24,1.4871354778733803e-06,0.9999948740005493,0.0,0.002353952033445239
25.0,0.032852549105882645,0.00551560940220952,0.25,1.6641345155221643e-06,0.9999978542327881,0.0,0.00316993473097682
26.0,0.03258497267961502,0.006616561207920313,0.26,1.9112646896246588e-06,0.9999997019767761,0.0,0.004317493177950382
27.0,0.03279378265142441,0.006572341546416283,0.27,2.0679415229096776e-06,0.9999964237213135,0.0,0.005192254204303026
28.0,0.032412461936473846,0.005615637172013521,0.28,1.967200660146773e-06,0.9999971985816956,0.0,0.005093895364552736
29.0,0.03217186778783798,0.0045530181378126144,0.29,1.6972484218058526e-06,0.9999971985816956,0.0,0.004311787895858288
30.0,0.032131265848875046,0.0038758849259465933,0.3,1.43513227612857e-06,0.999998927116394,0.0,0.0034011509269475937
31.0,0.03200121968984604,0.0036809437442570925,0.31,1.2795412658306304e-06,0.9999972581863403,0.0,0.002887016162276268
32.0,0.03196542710065842,0.003973835613578558,0.32,1.2478793678383227e-06,0.9999964833259583,0.0,0.0027193871792405844
33.0,0.03175366297364235,0.004798584152013063,0.33,1.3440426300803665e-06,0.9999999403953552,0.0,0.002908684080466628
34.0,0.03129134699702263,0.0061078486032783985,0.34,1.5812782976354356e-06,0.9999973177909851,0.0,0.0035317707806825638
35.0,0.031053772196173668,0.007282665465027094,0.35,1.9591645923355827e-06,0.9999988079071045,0.0,0.00456249201670289
