experiment,val_mae,horizon_mae,top_risk_mae,spearman,p_at_10,ndcg_at_10,p_at_20,ndcg_at_20,fp10_true_rank_gt30,fp20_true_rank_gt50,hits10,hits20,top10_predicted_lines,best_epoch,runtime_sec
A0_original_gridagent,0.0024698772440574,0.0013414714441899,0.0040303938131028,0.6038958145810571,0.2,0.195189000790661,0.35,0.3100942084313088,8.0,11.0,2,7,"L110(T41), L111(T70), L61(T2), L137(T114), L147(T1), L185(T111), L108(T60), L113(T103), L48(T33), L106(T80)",90,91.01774263381958
MLP_reference,0.016555725828111,0.0153576161171631,0.0184985689321019,0.8317636317536945,0.7,0.800693766409882,0.85,0.9013592468993896,0.0,0.0,7,17,"L64(T3), L63(T4), L60(T5), L59(T6), L65(T7), L66(T8), L69(T9), L56(T11), L55(T12), L58(T13)",92,20.284698724746704
B1_fp_lambda0p1_margin0p002,0.0044750399587818,0.0025651805490867,0.0096547992498714,0.3924212948445397,0.3,0.3628869103342174,0.25,0.3053018238006222,7.0,13.0,3,5,"L147(T1), L110(T41), L111(T70), L137(T114), L185(T111), L108(T60), L61(T2), L11(T10), L41(T89), L106(T80)",88,437.4764289855957
B2a_fp_lambda0p2_margin0p002,0.0001014015716489,7.654066367243657e-05,0.0001545436679779,0.5859015630803429,0.6,0.6898286563534621,0.5,0.5910682095579067,4.0,4.0,6,10,"L147(T1), L61(T2), L11(T10), L48(T33), L64(T3), L110(T41), L137(T114), L63(T4), L65(T7), L111(T70)",116,1187.1542296409607
B2_fp_lambda0p3_margin0p002,0.0002473587532971,6.16530049982934e-05,0.0007458728622011,0.559547731413522,0.2,0.3301376494471202,0.5,0.4972734507460223,8.0,8.0,2,10,"L61(T2), L110(T41), L147(T1), L111(T70), L137(T114), L185(T111), L108(T60), L48(T33), L113(T103), L106(T80)",117,121.96907114982604
B2b_fp_lambda0p3_margin0p003,0.0027622990917944,0.0026831855704831,0.0013405476585818,-0.0320038783318069,0.3,0.3647442587311445,0.2,0.2688315265080194,7.0,10.0,3,4,"L11(T10), L111(T70), L48(T33), L110(T41), L41(T89), L147(T1), L185(T111), L137(T114), L61(T2), L138(T136)",83,475.4584906101227
B2c_fp_lambda0p3_margin0p005,0.0059604413335073,0.0053167012004393,0.0068708675841583,0.226468772026892,0.3,0.2735872697693364,0.3,0.2788149272029961,7.0,10.0,3,6,"L110(T41), L111(T70), L147(T1), L137(T114), L11(T10), L61(T2), L185(T111), L48(T33), L108(T60), L106(T80)",92,137.2674524784088
B2d_fp_lambda0p4_margin0p003,1.6657189208713665e-05,1.7232129466793918e-05,1.3538766202252178e-05,-0.2498746944252113,0.2,0.3148801306676309,0.25,0.3280685201034751,5.0,2.0,2,5,"L11(T10), L48(T33), L23(T32), L61(T2), L20(T27), L29(T46), L24(T19), L22(T50), L31(T17), L21(T38)",128,140.52282643318176
B3_fp_lambda0p5_margin0p002,0.0014702292390681,0.001474451470959,0.0014921495926403,-0.0032730077536851,0.1,0.1388624438735545,0.15,0.1633013265151415,9.0,12.0,1,3,"L111(T70), L61(T2), L110(T41), L41(T89), L108(T60), L185(T111), L137(T114), L113(T103), L48(T33), L62(T39)",63,93.96551537513731
C1_metapath_v1_local_gate,0.0062994034370112,0.0027098100270657,0.0162859632350161,0.4403206034503848,0.1,0.0694312219367772,0.2,0.1678903641996813,6.0,1.0,1,4,"L21(T38), L23(T32), L29(T46), L20(T27), L19(T30), L31(T17), L30(T48), L147(T1), L2(T43), L10(T34)",128,145.7199904918671
