line_id,true_rank,true_risk,A0_original_gridagent_pred,A0_original_gridagent_rank,B2a_fp_lambda0p2_margin0p002_pred,B2a_fp_lambda0p2_margin0p002_rank,B2_fp_lambda0p3_margin0p002_pred,B2_fp_lambda0p3_margin0p002_rank,MLP_reference_pred,MLP_reference_rank
L147,1,0.0018539356684263,0.01656369,5,0.00062270777,1,0.0036026083,3,0.015077499,175
L61,2,0.0003030192554608,0.020368421,3,0.0006216656,2,0.0041400874,1,0.0104681915,180
L64,3,0.000208541971198,0.012671122,12,0.00051546266,5,0.0021114603,12,0.020364953,1
L63,4,0.0001854909256387,0.010624701,17,0.0004477666,8,0.0018756482,15,0.02033998,2
L60,5,0.0001314989423055,0.009350125,25,0.00035145888,21,0.0017123617,19,0.020270357,3
L59,6,0.0001071562444852,0.00951327,23,0.00039810454,13,0.0017787716,18,0.020231133,4
L65,7,0.0001035009827314,0.011696862,16,0.00043778177,9,0.0019352721,13,0.020224616,5
L66,8,9.72576329636432e-05,0.0132064745,11,0.000408342,11,0.0018288725,16,0.020213054,6
L69,9,8.261993922220601e-05,0.008250428,44,0.00027829353,67,0.001528251,23,0.020183297,7
L110,41,9.070162178326235e-06,0.022208652,1,0.00050905993,6,0.004056607,2,0.0075685154,182
L108,60,1.0952097017069562e-06,0.015382282,7,0.00034115743,26,0.0025585028,7,0.010501427,179
L111,70,2.023216644220227e-07,0.021263622,2,0.00042822273,10,0.0035698,4,0.0051605706,186
L106,80,1.983553343798405e-08,0.014018514,10,0.0003282142,35,0.0023643146,10,0.019866334,34
L113,103,1.4146850357832363e-10,0.014621233,8,0.00030571653,49,0.002384364,9,0.014448796,176
L185,111,3.9762193537740125e-11,0.01545026,6,0.00040281843,12,0.0027353156,6,0.012004036,178
L137,114,2.448286018363888e-11,0.0166984,4,0.00046916967,7,0.002774651,5,0.010004262,181
