epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy
1.0,0.27579423785209656,0.08535829931497574,0.01,0.009873393923044205,0.9999618530273438
2.0,0.19122381508350372,0.11562393605709076,0.02,0.003680664813145995,0.9998335838317871
3.0,0.18583932518959045,0.10093849897384644,0.03,0.0012368937022984028,0.9998277425765991
4.0,0.1776721179485321,0.09657111018896103,0.04,0.0002528104232624173,0.9999645948410034
5.0,0.16726839542388916,0.1253627985715866,0.05,6.881789886392653e-05,0.9999746084213257
6.0,0.15282370150089264,0.06831581145524979,0.06,3.59907717211172e-05,0.9999000430107117
7.0,0.16035161912441254,0.16237705945968628,0.07,1.1808108865807299e-05,0.999843955039978
8.0,0.1433417946100235,0.15411119163036346,0.08,4.8555612011114135e-05,0.9999732375144958
9.0,0.14217963814735413,0.10003847628831863,0.09,2.7828984457300976e-05,0.9999013543128967
10.0,0.13658080995082855,0.08535285294055939,0.1,4.859579803451197e-06,0.9998781681060791
11.0,0.13790938258171082,0.11326178908348083,0.11,2.3548434455733513e-06,0.9999614953994751
12.0,0.1274942010641098,0.14757756888866425,0.12,3.3589271879463922e-06,0.9998988509178162
13.0,0.12913011014461517,0.12367579340934753,0.13,5.485637302626856e-06,0.9999688863754272
14.0,0.12076009809970856,0.08465186506509781,0.14,4.7246276153600775e-06,0.9999868869781494
15.0,0.11910106986761093,0.08609634637832642,0.15,4.194321263639722e-06,0.9999546408653259
16.0,0.11628549546003342,0.13063694536685944,0.16,9.917672286974266e-06,0.9999318718910217
17.0,0.11200837045907974,0.13773345947265625,0.17,7.43193450034596e-05,0.9999153017997742
18.0,0.1055164560675621,0.09263364225625992,0.18,0.000533927814103663,0.9999791383743286
19.0,0.10055766999721527,0.13334155082702637,0.19,0.0024277891498059034,0.9999142289161682
20.0,0.09356215596199036,0.4389020800590515,0.2,0.015568318776786327,0.9998010396957397
21.0,0.1018814891576767,0.059619080275297165,0.21,0.09288672357797623,0.9993239045143127
22.0,0.10909677296876907,0.13480600714683533,0.22,0.016336994245648384,0.9998740553855896
23.0,0.07837634533643723,0.6161522269248962,0.23,0.02855290286242962,0.9993737936019897
24.0,0.12664590775966644,0.07969705015420914,0.24,0.08175031840801239,0.9983524084091187
25.0,0.08395600318908691,0.054266057908535004,0.25,0.018620265647768974,0.9997910857200623
26.0,0.11218440532684326,0.10368140041828156,0.26,0.010041397996246815,0.9998071193695068
27.0,0.07261820882558823,0.3680918514728546,0.27,0.016567735001444817,0.9997162222862244
28.0,0.09354442358016968,0.3037715554237366,0.28,0.03512280434370041,0.9992560744285583
29.0,0.07648711651563644,0.11288481205701828,0.29,0.034214094281196594,0.9993743896484375
30.0,0.06882303208112717,0.07827156782150269,0.3,0.023854579776525497,0.999565839767456
31.0,0.08353857696056366,0.13215306401252747,0.31,0.022861944511532784,0.9996561408042908
32.0,0.06910650432109833,0.3425035774707794,0.32,0.03583609312772751,0.99969881772995
33.0,0.05586066097021103,0.4953817129135132,0.33,0.0664190724492073,0.9993996620178223
34.0,0.0706658810377121,0.280142605304718,0.34,0.09731990098953247,0.9992815852165222
35.0,0.045585665851831436,0.1984962821006775,0.35,0.08595480769872665,0.9996927976608276
36.0,0.056090135127305984,0.2806782126426697,0.36,0.09289740771055222,0.9998510479927063
37.0,0.0414343886077404,0.6090168952941895,0.37,0.1382972151041031,0.9997438192367554
38.0,0.05443289130926132,0.32973581552505493,0.38,0.2502359449863434,0.9986419081687927
39.0,0.026986442506313324,0.24226447939872742,0.39,0.22238653898239136,0.9991787672042847
40.0,0.03860023617744446,0.4157615005970001,0.4,0.24382363259792328,0.9988468289375305
41.0,0.018098630011081696,0.5574337244033813,0.41,0.3392588496208191,0.9982866644859314
42.0,0.03078913874924183,0.19197304546833038,0.42,0.42989757657051086,0.9974877834320068
43.0,0.030886206775903702,0.22231510281562805,0.43,0.41076597571372986,0.9976707100868225
44.0,0.016551431268453598,0.5401884913444519,0.44,0.45162293314933777,0.9973371624946594
45.0,0.02365429326891899,0.3143041729927063,0.45,0.5261421799659729,0.9970003366470337
46.0,0.006106619723141193,0.1556619256734848,0.46,0.5039309859275818,0.9969499111175537
47.0,0.0145101398229599,0.18388749659061432,0.47,0.4700843393802643,0.9967995285987854
48.0,0.006884043104946613,0.37269312143325806,0.48,0.47536540031433105,0.9968245625495911
49.0,0.007830853573977947,0.32369062304496765,0.49,0.496501088142395,0.9968342185020447
50.0,0.004943104926496744,0.1404195874929428,0.5,0.46451762318611145,0.9966769814491272
