variant,seed,val_mae,horizon_mae,best_val_mse,high_risk_mae,precision_at_5,precision_at_10,ndcg_at_10,spearman_corr,best_epoch
metapath_local_beta0,42,0.0172268013231406,0.014345937967697,0.000562198809348,0.0369136656227205,1.0,0.7,0.7859162856301584,0.421664262106381,134
metapath_local_beta0,43,0.0113240640999374,0.005935607038628,0.0009543087217025,0.0570369370409652,1.0,0.7,0.7909506325094737,0.5485467761306583,45
metapath_local_beta0,44,0.0132268377392575,0.0004734068758832,0.0024633514694869,0.1139090890033157,1.0,0.8,0.866947989864271,0.6133364094220031,25
metapath_local_beta0,45,0.010936382942747,0.0053842330445983,0.0009268421563319,0.057756792351537,1.0,0.7,0.793584067764911,0.635870358920599,44
metapath_local_beta0,46,0.0099745776110178,0.0059174440080748,0.0006290299352258,0.0451928078409978,1.0,0.7,0.793584067764911,0.6199350559067668,42
metapath_local_beta0p01,42,0.0172159352478428,0.014324790705392,0.0005585751496255,0.0367830485230155,1.0,0.7,0.7859162856301584,0.4237552731316439,134
metapath_local_beta0p01,43,0.0112623277731336,0.0059408129791866,0.0009348158491775,0.0563964685807115,1.0,0.7,0.7909506325094737,0.5493015111287608,44
metapath_local_beta0p01,44,0.0138550841257767,0.0005240698608481,0.0023197927512228,0.109250970459953,1.0,0.8,0.866947989864271,0.618940138194858,24
metapath_local_beta0p01,45,0.0109433698079162,0.0054159102422115,0.0009197645122185,0.0575587578796544,1.0,0.7,0.7967610662472993,0.6331145629636481,44
metapath_local_beta0p01,46,0.0100071014164004,0.0059757059728554,0.0006250647711567,0.0450299489440244,1.0,0.7,0.793584067764911,0.6137852121439771,42
mlp,42,0.0233017313518358,0.0177749817160095,0.0011319138575345,0.0591968076766724,1.0,0.7,0.793584067764911,0.5891644794190257,20
mlp,43,0.0086821595914727,0.001833543511336,0.0012599021429196,0.0692094422327879,1.0,0.7,0.793584067764911,0.5353752873130844,30
mlp,44,0.022837592925735,0.016900990489853,0.0012535486603155,0.0652348044198855,1.0,0.7,0.7909506325094737,0.5444931916952236,19
mlp,45,0.0263436395267602,0.0192905169527598,0.0016490094130858,0.0746244695670058,1.0,0.7,0.7909506325094737,0.5406704596587645,18
mlp,46,0.0208553489080541,0.0126706098106827,0.001898078713566,0.0834359253693068,1.0,0.7,0.7909506325094737,0.5486160245610423,19
