beta,seed,val_mae,horizon_mae,best_val_mse,high_risk_mae,precision_at_5,precision_at_10,ndcg_at_10,spearman_corr,best_epoch
0.0,42,0.0172268013231406,0.014345937967697,0.000562198809348,0.0369136656227205,1.0,0.7,0.7859162856301584,0.421664262106381,134
0.0,43,0.0113240640999374,0.005935607038628,0.0009543087217025,0.0570369370409652,1.0,0.7,0.7909506325094737,0.5485467761306583,45
0.0,44,0.0132268377392575,0.0004734068758832,0.0024633514694869,0.1139090890033157,1.0,0.8,0.866947989864271,0.6133364094220031,25
0.01,42,0.0172159352478428,0.014324790705392,0.0005585751496255,0.0367830485230155,1.0,0.7,0.7859162856301584,0.4237552731316439,134
0.01,43,0.0112623277731336,0.0059408129791866,0.0009348158491775,0.0563964685807115,1.0,0.7,0.7909506325094737,0.5493015111287608,44
0.01,44,0.0138550841257767,0.0005240698608481,0.0023197927512228,0.109250970459953,1.0,0.8,0.866947989864271,0.618940138194858,24
0.05,42,0.016582059303523,0.0136043287093267,0.0005409599980339,0.0372520957605418,1.0,0.7,0.7859162856301584,0.41512662713344,134
0.05,43,0.0203611720641857,0.0173382916026058,0.0007252565119415,0.0425801944112248,1.0,0.7,0.793584067764911,0.5820149798938273,180
0.05,44,0.0191340778386674,0.0163761388928353,0.0005611580563709,0.0353616401976528,1.0,0.6,0.7222954974312066,0.4440226850572242,163
0.1,42,0.0163586787472143,0.0134716693833297,0.0005463996785692,0.0373188571113089,1.0,0.7,0.7859162856301584,0.3987326808312108,130
0.1,43,0.0204503970209441,0.0176184199599169,0.0006941746687516,0.0409423981325205,1.0,0.7,0.793584067764911,0.5871463614783777,180
0.1,44,0.0182937304206746,0.0159083034278031,0.0005324994563125,0.0352805572819278,1.0,0.6,0.7222954974312066,0.3932244419992013,158
