epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy,train_rank_loss
1.0,0.25000616908073425,0.22924846410751343,0.01,0.3151586055755615,0.9999618530273438,0.012540275231003761
2.0,0.23362189531326294,0.2040954977273941,0.02,0.06520392000675201,0.9997856020927429,0.00728089502081275
3.0,0.21927031874656677,0.18040022253990173,0.03,0.015093698166310787,0.9995758533477783,0.0038708546198904514
4.0,0.20641590654850006,0.1481677144765854,0.04,0.00416146032512188,0.9999869465827942,0.002974530216306448
5.0,0.1927102506160736,0.08736911416053772,0.05,0.002919564489275217,0.9980863332748413,0.003258073702454567
6.0,0.1777770221233368,0.052642595022916794,0.06,0.007786689791828394,0.9997233152389526,0.00296967220492661
7.0,0.15898464620113373,0.060976821929216385,0.07,0.05452221632003784,0.9981458783149719,0.00244686147198081
8.0,0.1503192037343979,0.060664139688014984,0.08,0.2511768043041229,0.9999632835388184,0.002589263953268528
9.0,0.1362198144197464,0.055687613785266876,0.09,0.17933562397956848,0.9980756044387817,0.0023186979815363884
10.0,0.12000041455030441,0.04704936221241951,0.1,0.0919729545712471,0.9997411370277405,0.0018761013634502888
11.0,0.10607516765594482,0.04457273706793785,0.11,0.04046495258808136,0.9997472763061523,0.0031023698393255472
12.0,0.09269003570079803,0.04015474393963814,0.12,0.019074849784374237,0.9992813467979431,0.0019295261008664966
13.0,0.07850310206413269,0.03478987142443657,0.13,0.012144881300628185,0.9992137551307678,0.002693882444873452
14.0,0.061116788536310196,0.035805609077215195,0.14,0.011580436490476131,0.9999116659164429,0.0008148023625835776
15.0,0.04657493904232979,0.046368248760700226,0.15,0.016632191836833954,0.9996695518493652,0.0012498028809204698
16.0,0.03367022052407265,0.04692583531141281,0.16,0.02941516414284706,0.9993353486061096,0.0011066780425608158
17.0,0.021073732525110245,0.030738545581698418,0.17,0.03233705461025238,0.999843180179596,0.001257968251593411
18.0,0.011476555839180946,0.01979956589639187,0.18,0.02132437191903591,0.99967360496521,0.00035790426773019135
19.0,0.005903188139200211,0.021147508174180984,0.19,0.019436560571193695,0.9994344711303711,2.8783682864741422e-05
20.0,0.003435715101659298,0.011218593455851078,0.2,0.03200020641088486,0.9998584389686584,0.00014837308845017105
21.0,0.0002115946263074875,0.004287608899176121,0.21,0.02779088169336319,0.9995676279067993,0.00013465025404002517
22.0,-0.001085168682038784,0.004967599641531706,0.22,0.017601866275072098,0.9992822408676147,0.0001562884426675737
23.0,-0.0024365477729588747,0.008024416863918304,0.23,0.02053898200392723,0.9997985363006592,3.231448499718681e-05
24.0,-0.0026763903442770243,0.006108456756919622,0.24,0.024221153929829597,0.9996951818466187,4.133934271521866e-05
25.0,-0.0037752934731543064,0.005473687779158354,0.25,0.017647365108132362,0.9996007680892944,3.152464387312648e-07
26.0,-0.0036525423638522625,0.007208963390439749,0.26,0.013919810764491558,0.9998728036880493,6.504046177724376e-05
27.0,-0.00410546874627471,0.008677802979946136,0.27,0.014669886790215969,0.999825656414032,2.890691757784225e-05
28.0,-0.004005999770015478,0.011153879575431347,0.28,0.015378940850496292,0.9997650980949402,1.0697971447370946e-05
29.0,-0.0037557827308773994,0.008855300024151802,0.29,0.017096297815442085,0.9999114871025085,7.285297033376992e-05
30.0,-0.004195589572191238,0.007370015140622854,0.3,0.014586775563657284,0.9998421669006348,3.656409899122082e-05
31.0,-0.004180735908448696,0.005546231288462877,0.31,0.012590612284839153,0.9997044801712036,0.00012221118959132582
32.0,-0.0031045153737068176,0.00739021273329854,0.32,0.00887825433164835,0.9996530413627625,1.1105014891654719e-05
33.0,-0.003987442702054977,0.00974437315016985,0.33,0.012220777571201324,0.9996711611747742,8.905654249247164e-05
34.0,-0.0036680144257843494,0.008810821920633316,0.34,0.014272204600274563,0.9998041987419128,0.00010757278505479917
35.0,-0.0038566943258047104,0.005875713191926479,0.35,0.01325767021626234,0.9998361468315125,0.0
36.0,-0.003487903159111738,0.005016166716814041,0.36,0.008707300759851933,0.9998601078987122,0.0001914991153171286
