scenario,expected_fail_lines,probability
S1,5,0.081333
S2,4,0.077
S3,7,0.066333
S4,3,0.066
S5,8,0.066
S6,2,0.065667
S7,6,0.064333
S8,9,0.062333
S9,10,0.054333
S10,11,0.050333
S11,1,0.05
S12,12,0.039333
S13,13,0.038667
S14,0,0.037333
S15,15,0.027667
S16,14,0.027
S17,17,0.019667
S18,16,0.019
S19,18,0.016
S20,19,0.01
S21,21,0.009333
S22,20,0.008667
S23,22,0.008667
S24,23,0.006667
S25,24,0.005333
S26,25,0.004667
S27,26,0.003667
S28,27,0.003
S29,29,0.002667
S30,28,0.002333
S31,31,0.001333
S32,32,0.001333
S33,30,0.001
S34,33,0.000667
S35,35,0.000667
S36,37,0.000667
S37,36,0.000333
S38,38,0.000333
S39,39,0.000333
