scenario,expected_fail_lines,probability
S1,5,0.074667
S2,4,0.072667
S3,6,0.068333
S4,3,0.066
S5,8,0.06
S6,7,0.059667
S7,9,0.058667
S8,2,0.057
S9,10,0.055333
S10,11,0.046333
S11,12,0.041333
S12,1,0.040333
S13,13,0.038333
S14,0,0.032
S15,14,0.03
S16,15,0.024
S17,17,0.022333
S18,16,0.021667
S19,18,0.021
S20,19,0.019333
S21,20,0.012333
S22,21,0.011333
S23,22,0.01
S24,23,0.008667
S25,24,0.008667
S26,25,0.007667
S27,26,0.007667
S28,29,0.006667
S29,28,0.003667
S30,27,0.003
S31,30,0.003
S32,35,0.001667
S33,31,0.001333
S34,33,0.001333
S35,32,0.001
S36,36,0.001
S37,38,0.001
S38,37,0.000333
S39,39,0.000333
S40,42,0.000333
