node,load_type,outage_prob
load_bus_82,secondary,0.075
load_bus_22,secondary,0.07
load_bus_93,secondary,0.055
load_bus_97,secondary,0.055
load_bus_34,secondary,0.05
load_bus_32,secondary,0.04
load_bus_49,secondary,0.015
load_bus_43,secondary,0.01
load_bus_47,secondary,0.01
load_bus_50,secondary,0.01
load_bus_56,secondary,0.01
load_bus_57,secondary,0.01
load_bus_77,secondary,0.01
load_bus_78,secondary,0.01
load_bus_81,secondary,0.01
load_bus_117,secondary,0.005
load_bus_38,secondary,0.005
load_bus_42,secondary,0.005
load_bus_46,secondary,0.005
load_bus_51,secondary,0.005
load_bus_66,secondary,0.005
load_bus_96,secondary,0.005
load_bus_115,secondary,0.0
load_bus_23,secondary,0.0
load_bus_33,secondary,0.0
load_bus_39,secondary,0.0
load_bus_40,secondary,0.0
load_bus_41,secondary,0.0
load_bus_44,secondary,0.0
load_bus_45,secondary,0.0
load_bus_48,secondary,0.0
load_bus_52,secondary,0.0
load_bus_53,secondary,0.0
load_bus_54,secondary,0.0
load_bus_55,secondary,0.0
load_bus_58,secondary,0.0
load_bus_59,secondary,0.0
load_bus_61,secondary,0.0
load_bus_65,secondary,0.0
load_bus_69,secondary,0.0
load_bus_71,secondary,0.0
load_bus_72,secondary,0.0
load_bus_73,secondary,0.0
load_bus_74,secondary,0.0
load_bus_75,secondary,0.0
load_bus_76,secondary,0.0
load_bus_79,secondary,0.0
load_bus_95,secondary,0.0
load_bus_98,secondary,0.0
