run_name,run_dir,status,return_code,skipped,metapath_topk,hidden_dim,epochs,lr,weight_decay,train_ratio,seed,train_model_variant,train_best_val_mse,train_val_mae,metapath_gate_mean,metapath_val_mae,baseline_val_mae,metapath_horizon_mae,baseline_horizon_mae,metapath_best_val_mse,baseline_best_val_mse,delta_val_mae,delta_horizon_mae,delta_best_val_mse
r001_k3_h80_ep700_lr0.0045_wd0.0003_tr0.700_s42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\metapath_tune12_20260407_205845\r001_k3_h80_ep700_lr0.0045_wd0.0003_tr0.700_s42,ok,0,False,3,80,700,0.0045,0.0003,0.7,42,metapath_v1,0.2095978707075119,0.3487497795711864,0.06408704227457444,0.3487497795711864,0.3586536241300178,0.1660881410042445,0.1873941722843382,0.2095978707075119,0.2053444981575012,0.009903844558831365,0.0213060312800937,-0.004253372550010709
r002_k3_h80_ep700_lr0.0045_wd0.0003_tr0.700_s43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\metapath_tune12_20260407_205845\r002_k3_h80_ep700_lr0.0045_wd0.0003_tr0.700_s43,ok,0,False,3,80,700,0.0045,0.0003,0.7,43,metapath_v1,0.21599648892879486,0.33623761570814886,0.20285789523687628,0.3362376157081488,0.3521678832444277,0.1380459985799259,0.1766402178340488,0.2159964889287948,0.2068003714084625,0.015930267536278908,0.0385942192541229,-0.009196117520332309
r003_k3_h80_ep700_lr0.0055_wd0.0003_tr0.700_s42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\metapath_tune12_20260407_205845\r003_k3_h80_ep700_lr0.0055_wd0.0003_tr0.700_s42,ok,0,False,3,80,700,0.0055,0.0003,0.7,42,metapath_v1,0.21354928612709045,0.341080544572888,0.06217843811545107,0.341080544572888,0.3503313004970551,0.1490508251720004,0.169335453874535,0.2135492861270904,0.2086779028177261,0.009250755924167076,0.020284628702534585,-0.004871383309364291
r004_k3_h80_ep700_lr0.0055_wd0.0003_tr0.700_s43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\metapath_tune12_20260407_205845\r004_k3_h80_ep700_lr0.0055_wd0.0003_tr0.700_s43,ok,0,False,3,80,700,0.0055,0.0003,0.7,43,metapath_v1,0.22085443139076233,0.32850832559845666,0.21327983111970955,0.3285083255984566,0.3440504801995827,0.1215294844574398,0.1584942501452234,0.2208544313907623,0.210694134235382,0.015542154601126068,0.03696476568778359,-0.010160297155380305
r005_k4_h80_ep700_lr0.0045_wd0.0003_tr0.700_s42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\metapath_tune12_20260407_205845\r005_k4_h80_ep700_lr0.0045_wd0.0003_tr0.700_s42,ok,0,False,4,80,700,0.0045,0.0003,0.7,42,metapath_v1,0.20959825813770294,0.34874974019599686,0.06408728664326999,0.3487497401959968,0.3586536241300178,0.166087363825904,0.1873941722843382,0.2095982581377029,0.2053444981575012,0.009903883934020974,0.02130680845843419,-0.0042537599802016934
r006_k4_h80_ep700_lr0.0045_wd0.0003_tr0.700_s43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\metapath_tune12_20260407_205845\r006_k4_h80_ep700_lr0.0045_wd0.0003_tr0.700_s43,ok,0,False,4,80,700,0.0045,0.0003,0.7,43,metapath_v1,0.21599358320236206,0.3362430276292743,0.2028565944896804,0.3362430276292743,0.3521678832444277,0.13805763191647,0.1766402178340488,0.215993583202362,0.2068003714084625,0.015924855615153388,0.03858258591757879,-0.009193211793899508
r007_k4_h80_ep700_lr0.0055_wd0.0003_tr0.700_s42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\metapath_tune12_20260407_205845\r007_k4_h80_ep700_lr0.0055_wd0.0003_tr0.700_s42,ok,0,False,4,80,700,0.0055,0.0003,0.7,42,metapath_v1,0.21354970335960388,0.3410806180852832,0.06217871544261774,0.3410806180852832,0.3503313004970551,0.1490502365761333,0.169335453874535,0.2135497033596038,0.2086779028177261,0.009250682411771849,0.020285217298401687,-0.004871800541877691
r008_k4_h80_ep700_lr0.0055_wd0.0003_tr0.700_s43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\metapath_tune12_20260407_205845\r008_k4_h80_ep700_lr0.0055_wd0.0003_tr0.700_s43,ok,0,False,4,80,700,0.0055,0.0003,0.7,43,metapath_v1,0.2208506166934967,0.32851423277999414,0.21327835424906677,0.3285142327799941,0.3440504801995827,0.1215423579017321,0.1584942501452234,0.2208506166934967,0.210694134235382,0.015536247419588589,0.0369518922434913,-0.010156482458114707
r009_k5_h80_ep700_lr0.0045_wd0.0003_tr0.700_s42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\metapath_tune12_20260407_205845\r009_k5_h80_ep700_lr0.0045_wd0.0003_tr0.700_s42,ok,0,False,5,80,700,0.0045,0.0003,0.7,42,metapath_v1,0.209598109126091,0.34875001112620035,0.06408728891983628,0.3487500111262003,0.3586536241300178,0.1660877842042181,0.1873941722843382,0.209598109126091,0.2053444981575012,0.00990361300381748,0.021306388080120087,-0.0042536109685898105
r010_k5_h80_ep700_lr0.0045_wd0.0003_tr0.700_s43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\metapath_tune12_20260407_205845\r010_k5_h80_ep700_lr0.0045_wd0.0003_tr0.700_s43,ok,0,False,5,80,700,0.0045,0.0003,0.7,43,metapath_v1,0.21599464118480682,0.3362414730317665,0.20285547421210343,0.3362414730317665,0.3521678832444277,0.1380537056260638,0.1766402178340488,0.2159946411848068,0.2068003714084625,0.015926410212661224,0.03858651220798498,-0.0091942697763443
