label_method,seed,best_val_mse_baseline_gnn,best_val_mse_metapath_v1,val_high_risk_mae_baseline_gnn,val_high_risk_mae_metapath_v1,val_mae_baseline_gnn,val_mae_metapath_v1,val_rmse_baseline_gnn,val_rmse_metapath_v1,delta_val_mae,delta_val_rmse,delta_best_val_mse,delta_val_high_risk_mae
c3po_ref,42,0.04364504665136337,0.0015363137936219573,0.319381051338636,0.1115459415775079,0.15621239995640335,0.026167396615456903,0.2089139606979803,0.03919584072693718,0.13004500334094643,0.1697181199710431,0.042108732857741416,0.20783510976112807
c3po_ref,43,0.02995803952217102,0.0007892569992691278,0.29745176205268276,0.06348995520518376,0.15126273503357715,0.0201920643766326,0.17308391853981636,0.028093720376582393,0.13107067065694455,0.14499019816323397,0.029168782522901893,0.233961806847499
c3po_ref,44,0.04751116409897804,0.0010379769373685122,0.3101504147052765,0.08870814396784855,0.17844471229296743,0.02177020173491628,0.21797055629917203,0.03221764950926336,0.15667451055805115,0.18575290678990866,0.04647318716160953,0.22144227073742795
c3po_ref,45,0.03874190151691437,0.000883798289578408,0.31011396990372586,0.06905636019431628,0.1834513160315427,0.023559679920700464,0.1968296203396428,0.029728747656943146,0.15989163611084223,0.16710087268269966,0.03785810322733596,0.2410576097094096
c3po_ref,46,0.028865747153759003,0.0035239262506365776,0.34747544160256016,0.11295167585978141,0.15030587085268715,0.035775245216703326,0.16989921834783497,0.05936266541763429,0.11453062563598382,0.11053655293020068,0.025341820903122425,0.23452376574277875
wang_qmc,42,0.20166796445846558,0.20497460663318634,0.21587593778967856,0.19130221356948215,0.3709031646901911,0.359669162829717,0.44907454450140416,0.4527412181340003,0.011234001860474074,-0.0036666736325961513,-0.003306642174720764,0.024573724220196408
wang_qmc,43,0.202694371342659,0.21000385284423828,0.1996778463323911,0.1644847350815932,0.36286067185979903,0.3474472912875089,0.4502159271568093,0.45826178861885547,0.015413380572290136,-0.008045861462046167,-0.007309481501579285,0.03519311125079791
wang_qmc,44,0.20704622566699982,0.208207905292511,0.17836006432771684,0.17441940779487292,0.3536689624641881,0.35212045763478134,0.4550233310315246,0.45629805003825524,0.0015485048294067716,-0.0012747190067306513,-0.0011616796255111694,0.0039406565328439225
wang_qmc,45,0.20751212537288666,0.19932259619235992,0.1732609731455644,0.2641993264357249,0.35101493578968623,0.39340820745988325,0.4555349899188888,0.4464555904577584,-0.04239327167019702,0.0090793994611304,0.008189529180526733,-0.0909383532901605
wang_qmc,46,0.2000976949930191,0.19845856726169586,0.2357731247941653,0.29789938728014626,0.38014547445557334,0.40774090362317633,0.44732278244914025,0.445486899120421,-0.02759542916760299,0.0018358833287192566,0.0016391277313232422,-0.062126262485980965
