indicator,rank,policy,value
Priority,1,priority_with_reserve,0.6691465624392573
Priority,2,priority_no_reserve,0.4135258099523044
Priority,3,uniform_with_reserve,0.3518633454612046
Robustness,1,priority_with_reserve,0.3518633454612045
Robustness,2,uniform_with_reserve,0.3518633454612045
Robustness,3,priority_no_reserve,0.2270396804787735
Rapidity,1,priority_with_reserve,0.049787068367863944
Rapidity,2,uniform_with_reserve,0.049787068367863944
Rapidity,3,priority_no_reserve,0.049787068367863944
Sustainability,1,priority_with_reserve,0.3409680597879221
Sustainability,2,uniform_with_reserve,0.34067141907485443
Sustainability,3,priority_no_reserve,0.2290428087478048
