indicator,rank,policy,value
Priority,1,priority_with_reserve,0.6005461320281219
Priority,2,priority_no_reserve,0.4840260713559041
Priority,3,uniform_with_reserve,0.306563662543523
Robustness,1,priority_with_reserve,0.3065636625435231
Robustness,2,uniform_with_reserve,0.3065636625435231
Robustness,3,priority_no_reserve,0.2533264257593789
Rapidity,1,priority_with_reserve,0.049787068367863944
Rapidity,2,uniform_with_reserve,0.049787068367863944
Rapidity,3,priority_no_reserve,0.049787068367863944
Sustainability,1,priority_with_reserve,0.2932060818859302
Sustainability,2,uniform_with_reserve,0.2932060818859302
Sustainability,3,priority_no_reserve,0.24508651255995828
