load_bus,priority_level,priority_weight,demand_share
22,1,1.0,0.03287676532400862
23,1,1.0,0.04334636404635718
32,1,1.0,0.029241527175946372
33,1,1.0,0.0264761857979551
34,1,1.0,0.046743170161436254
38,1,1.0,0.02803738965230972
39,1,1.0,0.03647806779573544
40,1,1.0,0.034263590873319656
41,1,1.0,0.04671758017643396
42,1,1.0,0.023488862547146966
43,1,1.0,0.056636719922023314
44,1,1.0,0.01957303129063826
45,1,1.0,0.03798172018754392
46,1,1.0,0.035238387445537506
47,1,1.0,0.018331739596930414
48,2,0.5,0.027143589534010686
49,2,0.5,0.014811656452520075
50,2,0.5,0.007088760449894126
51,2,0.5,0.029823200580611033
52,2,0.5,0.004574205212515411
53,2,0.5,0.008497788600048928
54,2,0.5,0.01818021794986786
55,2,0.5,0.03269437848747329
56,2,0.5,0.02844757375024488
57,2,0.5,0.02100767977876217
58,2,0.5,0.003015494448861039
59,2,0.5,0.01046814075409264
61,2,0.5,0.012722848985071544
65,2,0.5,0.006749725083488569
66,2,0.5,0.002071789672689766
69,3,0.2,0.027306435087010087
71,3,0.2,0.02132067694584478
72,3,0.2,0.013525689594393236
73,3,0.2,0.007680271981836694
74,3,0.2,0.0005762049943723248
75,3,0.2,0.01239944224092059
76,3,0.2,0.008054339595293107
77,3,0.2,0.0195461274311811
78,3,0.2,0.02628686516127507
79,3,0.2,0.00430426102095778
81,3,0.2,0.000644866607654671
82,3,0.2,0.011987504161096795
93,3,0.2,0.033097307263587734
95,3,0.2,0.0106426930572183
96,3,0.2,0.027621185716547907
97,3,0.2,0.009760543216102657
98,3,0.2,0.017031931668140207
115,3,0.2,0.0037431921713760932
117,3,0.2,0.001742310351716466
