timestamp,hour_index,hourly_line_risk,hourly_uncertainty,global_expected_nk_fail_lines,global_max_critical_outage_prob,global_high_line_ratio,selected_strategy,reason
2024-09-01 00:00:00,0,0.0,0.241434,4.95131,0.078,0.333333,Stochastic_UC,high renewable uncertainty / elevated risk
2024-09-01 01:00:00,1,0.0,0.263973,4.95131,0.078,0.333333,Stochastic_UC,high renewable uncertainty / elevated risk
2024-09-01 02:00:00,2,0.0,0.306383,4.95131,0.078,0.333333,Stochastic_UC,high renewable uncertainty / elevated risk
2024-09-01 03:00:00,3,0.0,0.096605,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 04:00:00,4,0.0,0.261956,4.95131,0.078,0.333333,Stochastic_UC,high renewable uncertainty / elevated risk
2024-09-01 05:00:00,5,0.0,0.249669,4.95131,0.078,0.333333,Stochastic_UC,high renewable uncertainty / elevated risk
2024-09-01 06:00:00,6,0.0,0.281264,4.95131,0.078,0.333333,Stochastic_UC,high renewable uncertainty / elevated risk
2024-09-01 07:00:00,7,0.0,0.382522,4.95131,0.078,0.333333,Stochastic_UC,high renewable uncertainty / elevated risk
2024-09-01 08:00:00,8,0.0,0.293854,4.95131,0.078,0.333333,Stochastic_UC,high renewable uncertainty / elevated risk
2024-09-01 09:00:00,9,3e-06,0.208219,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 10:00:00,10,2.4e-05,0.207696,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 11:00:00,11,0.000138,0.09068,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 12:00:00,12,0.000637,0.14593,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 13:00:00,13,0.002362,0.176017,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 14:00:00,14,0.007129,0.136119,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 15:00:00,15,0.017727,0.047881,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 16:00:00,16,0.036605,0.093412,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 17:00:00,17,0.063025,0.048168,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 18:00:00,18,0.090342,0.039106,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 19:00:00,19,0.122384,0.124114,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 20:00:00,20,0.164104,0.139838,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 21:00:00,21,0.213603,0.193945,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 22:00:00,22,0.261477,0.184881,4.95131,0.078,0.333333,SCUC,normal operating condition
2024-09-01 23:00:00,23,0.296506,0.195323,4.95131,0.078,0.333333,SCUC,normal operating condition
