timestamp,hour_index,hourly_line_risk,hourly_uncertainty,global_expected_nk_fail_lines,global_max_critical_outage_prob,global_high_line_ratio,selected_strategy,reason
2024-09-02 00:00:00,0,0.356015,0.125788,5.745013,0.101,0.150538,SCUC,normal operating condition
2024-09-02 01:00:00,1,0.594479,0.103852,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 02:00:00,2,0.890162,0.153348,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 03:00:00,3,0.984778,0.056239,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 04:00:00,4,0.997216,0.175181,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 05:00:00,5,0.998312,0.065925,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 06:00:00,6,0.999938,0.226915,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 07:00:00,7,0.999959,0.294146,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 08:00:00,8,0.999998,0.093319,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 09:00:00,9,1.0,0.184168,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 10:00:00,10,0.999999,0.097316,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 11:00:00,11,0.999926,0.081457,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 12:00:00,12,0.994652,0.102513,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 13:00:00,13,0.925057,0.068901,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 14:00:00,14,0.774718,0.095675,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 15:00:00,15,0.696109,0.060857,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 16:00:00,16,0.706129,0.070179,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 17:00:00,17,0.727232,0.028833,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 18:00:00,18,0.697002,0.116871,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 19:00:00,19,0.582922,0.048088,5.745013,0.101,0.150538,Robust_UC,extreme weather / high outage risk
2024-09-02 20:00:00,20,0.390511,0.046711,5.745013,0.101,0.150538,SCUC,normal operating condition
2024-09-02 21:00:00,21,0.193048,0.092932,5.745013,0.101,0.150538,SCUC,normal operating condition
2024-09-02 22:00:00,22,0.068367,0.159876,5.745013,0.101,0.150538,SCUC,normal operating condition
2024-09-02 23:00:00,23,0.017664,0.31229,5.745013,0.101,0.150538,Stochastic_UC,high renewable uncertainty / elevated risk
