scenario_id,timestamp,outage_line_count,disconnected_load_count
0,2024-09-01 00:00:00,15,4
0,2024-09-01 01:00:00,1,0
0,2024-09-01 02:00:00,0,0
0,2024-09-01 03:00:00,2,2
0,2024-09-01 04:00:00,0,0
0,2024-09-01 05:00:00,0,0
1,2024-09-01 00:00:00,15,4
1,2024-09-01 01:00:00,1,0
1,2024-09-01 02:00:00,0,0
1,2024-09-01 03:00:00,3,3
1,2024-09-01 04:00:00,0,0
1,2024-09-01 05:00:00,0,0
2,2024-09-01 00:00:00,15,4
2,2024-09-01 01:00:00,1,0
2,2024-09-01 02:00:00,0,0
2,2024-09-01 03:00:00,2,2
2,2024-09-01 04:00:00,0,0
2,2024-09-01 05:00:00,0,0
3,2024-09-01 00:00:00,15,4
3,2024-09-01 01:00:00,2,0
3,2024-09-01 02:00:00,0,0
3,2024-09-01 03:00:00,3,3
3,2024-09-01 04:00:00,0,0
3,2024-09-01 05:00:00,0,0
4,2024-09-01 00:00:00,15,4
4,2024-09-01 01:00:00,1,0
4,2024-09-01 02:00:00,0,0
4,2024-09-01 03:00:00,2,2
4,2024-09-01 04:00:00,0,0
4,2024-09-01 05:00:00,0,0
5,2024-09-01 00:00:00,15,4
5,2024-09-01 01:00:00,1,0
5,2024-09-01 02:00:00,0,0
5,2024-09-01 03:00:00,3,3
5,2024-09-01 04:00:00,0,0
5,2024-09-01 05:00:00,0,0
6,2024-09-01 00:00:00,15,4
6,2024-09-01 01:00:00,1,0
6,2024-09-01 02:00:00,0,0
6,2024-09-01 03:00:00,3,3
6,2024-09-01 04:00:00,0,0
6,2024-09-01 05:00:00,0,0
7,2024-09-01 00:00:00,15,4
7,2024-09-01 01:00:00,2,0
7,2024-09-01 02:00:00,0,0
7,2024-09-01 03:00:00,3,3
7,2024-09-01 04:00:00,0,0
7,2024-09-01 05:00:00,0,0
8,2024-09-01 00:00:00,15,4
8,2024-09-01 01:00:00,2,0
8,2024-09-01 02:00:00,0,0
8,2024-09-01 03:00:00,3,3
8,2024-09-01 04:00:00,0,0
8,2024-09-01 05:00:00,0,0
9,2024-09-01 00:00:00,15,4
9,2024-09-01 01:00:00,1,0
9,2024-09-01 02:00:00,0,0
9,2024-09-01 03:00:00,3,3
9,2024-09-01 04:00:00,0,0
9,2024-09-01 05:00:00,0,0
10,2024-09-01 00:00:00,15,4
10,2024-09-01 01:00:00,1,0
10,2024-09-01 02:00:00,0,0
10,2024-09-01 03:00:00,3,3
10,2024-09-01 04:00:00,0,0
10,2024-09-01 05:00:00,0,0
11,2024-09-01 00:00:00,15,4
11,2024-09-01 01:00:00,1,0
11,2024-09-01 02:00:00,0,0
11,2024-09-01 03:00:00,3,3
11,2024-09-01 04:00:00,0,0
11,2024-09-01 05:00:00,0,0
12,2024-09-01 00:00:00,15,4
12,2024-09-01 01:00:00,2,0
12,2024-09-01 02:00:00,0,0
12,2024-09-01 03:00:00,3,3
12,2024-09-01 04:00:00,0,0
12,2024-09-01 05:00:00,0,0
13,2024-09-01 00:00:00,15,4
13,2024-09-01 01:00:00,1,0
13,2024-09-01 02:00:00,0,0
13,2024-09-01 03:00:00,3,3
13,2024-09-01 04:00:00,0,0
13,2024-09-01 05:00:00,0,0
14,2024-09-01 00:00:00,15,4
14,2024-09-01 01:00:00,1,0
14,2024-09-01 02:00:00,0,0
14,2024-09-01 03:00:00,2,2
14,2024-09-01 04:00:00,0,0
14,2024-09-01 05:00:00,0,0
15,2024-09-01 00:00:00,15,4
15,2024-09-01 01:00:00,1,0
15,2024-09-01 02:00:00,0,0
15,2024-09-01 03:00:00,3,3
15,2024-09-01 04:00:00,0,0
15,2024-09-01 05:00:00,0,0
16,2024-09-01 00:00:00,15,4
16,2024-09-01 01:00:00,1,0
16,2024-09-01 02:00:00,0,0
16,2024-09-01 03:00:00,3,3
16,2024-09-01 04:00:00,0,0
16,2024-09-01 05:00:00,0,0
17,2024-09-01 00:00:00,15,4
17,2024-09-01 01:00:00,1,0
17,2024-09-01 02:00:00,0,0
17,2024-09-01 03:00:00,3,3
17,2024-09-01 04:00:00,0,0
17,2024-09-01 05:00:00,0,0
18,2024-09-01 00:00:00,15,4
18,2024-09-01 01:00:00,1,0
18,2024-09-01 02:00:00,0,0
18,2024-09-01 03:00:00,2,2
18,2024-09-01 04:00:00,0,0
18,2024-09-01 05:00:00,0,0
19,2024-09-01 00:00:00,15,4
19,2024-09-01 01:00:00,1,0
19,2024-09-01 02:00:00,0,0
