indicator,rank,policy,value
Priority,1,priority_with_reserve,0.5778246987810248
Priority,2,priority_no_reserve,0.4349000567362999
Priority,3,uniform_with_reserve,0.291826904907156
Robustness,1,priority_with_reserve,0.2918269049071561
Robustness,2,uniform_with_reserve,0.2918269049071561
Robustness,3,priority_no_reserve,0.2265255914086274
Rapidity,1,priority_with_reserve,0.049787068367863944
Rapidity,2,uniform_with_reserve,0.049787068367863944
Rapidity,3,priority_no_reserve,0.049787068367863944
Sustainability,1,priority_with_reserve,0.22646922363791244
Sustainability,2,uniform_with_reserve,0.22646922363791244
Sustainability,3,priority_no_reserve,0.16710062553305693
