indicator,rank,policy,value
Priority,1,priority_with_reserve,0.3529572603633482
Priority,2,uniform_with_reserve,0.2778174307852796
Priority,3,priority_no_reserve,0.2207965071948286
Robustness,1,priority_with_reserve,0.2778174307852796
Robustness,2,uniform_with_reserve,0.2778174307852796
Robustness,3,priority_no_reserve,0.2173643215671604
Rapidity,1,priority_with_reserve,0.049787068367863944
Rapidity,2,uniform_with_reserve,0.049787068367863944
Rapidity,3,priority_no_reserve,0.049787068367863944
Sustainability,1,uniform_with_reserve,0.2677740442136991
Sustainability,2,priority_with_reserve,0.2673771348767361
Sustainability,3,priority_no_reserve,0.21260558467236368
