env_id,intensity_idx,wind_idx,load_idx,intensity_scale,wind_variant,wind_scale,pv_scale,uncertainty_dir,load_scenario,demand_scale,priority_stress_factor,trim_input
ENV_0001,0,0,0,0.8,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0002,0,0,1,0.8,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0003,0,0,2,0.8,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0004,0,0,3,0.8,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0005,0,1,0,0.8,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0006,0,1,1,0.8,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0007,0,1,2,0.8,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0008,0,1,3,0.8,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0009,0,2,0,0.8,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0010,0,2,1,0.8,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0011,0,2,2,0.8,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0012,0,2,3,0.8,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0013,0,3,0,0.8,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0014,0,3,1,0.8,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0015,0,3,2,0.8,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0016,0,3,3,0.8,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0017,0,4,0,0.8,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0018,0,4,1,0.8,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0019,0,4,2,0.8,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0020,0,4,3,0.8,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0021,1,0,0,1.0,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0022,1,0,1,1.0,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0023,1,0,2,1.0,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0024,1,0,3,1.0,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0025,1,1,0,1.0,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
