env_id,intensity_idx,wind_idx,load_idx,intensity_scale,wind_variant,wind_scale,pv_scale,uncertainty_dir,load_scenario,demand_scale,priority_stress_factor,trim_input,sample_id
ENV_0005,0,1,0,0.8,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv,S0001
ENV_0006,0,1,1,0.8,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv,S0002
ENV_0012,0,2,3,0.8,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv,S0003
ENV_0013,0,3,0,0.8,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv,S0004
ENV_0014,0,3,1,0.8,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv,S0005
ENV_0019,0,4,2,0.8,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv,S0006
ENV_0022,1,0,1,1.0,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv,S0007
ENV_0024,1,0,3,1.0,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv,S0008
ENV_0027,1,1,2,1.0,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv,S0009
ENV_0029,1,2,0,1.0,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv,S0010
ENV_0035,1,3,2,1.0,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv,S0011
ENV_0038,1,4,1,1.0,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv,S0012
ENV_0040,1,4,3,1.0,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv,S0013
ENV_0044,2,0,3,1.2,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv,S0014
