line,hour,failure_prob
L0,2024-09-01 00:00:00,1.0
L1,2024-09-01 00:00:00,1.0
L2,2024-09-01 00:00:00,0.9999999908033856
L3,2024-09-01 00:00:00,0.9999999973929352
L4,2024-09-01 00:00:00,1.0
L5,2024-09-01 00:00:00,1.0
L6,2024-09-01 00:00:00,0.9999952268239144
L7,2024-09-01 00:00:00,0.9999999999641848
L8,2024-09-01 00:00:00,0.9999959150040792
L9,2024-09-01 00:00:00,1.0
L10,2024-09-01 00:00:00,1.0
L11,2024-09-01 00:00:00,1.0
L12,2024-09-01 00:00:00,0.9999981879588096
L13,2024-09-01 00:00:00,0.9999998546655658
L14,2024-09-01 00:00:00,1.0
L0,2024-09-01 01:00:00,5.178705686503804e-09
L1,2024-09-01 01:00:00,4.035218270637131e-09
L2,2024-09-01 01:00:00,1.8935533605768384e-05
L3,2024-09-01 01:00:00,0.003213030255952
L4,2024-09-01 01:00:00,0.9999999997145042
L5,2024-09-01 01:00:00,1.0150667574260197e-06
L6,2024-09-01 01:00:00,2.989336854053448e-06
L7,2024-09-01 01:00:00,0.0003556718697326
L8,2024-09-01 01:00:00,0.0004881922205253
L9,2024-09-01 01:00:00,1.2706817287266858e-07
L10,2024-09-01 01:00:00,9.43689570931383e-15
L11,2024-09-01 01:00:00,6.262546037305583e-12
L12,2024-09-01 01:00:00,0.2416722871280188
L13,2024-09-01 01:00:00,0.0002141729704423
L14,2024-09-01 01:00:00,2.8525571904580715e-09
L0,2024-09-01 02:00:00,0.0
L1,2024-09-01 02:00:00,0.0
L2,2024-09-01 02:00:00,0.0
L3,2024-09-01 02:00:00,0.0
L4,2024-09-01 02:00:00,0.0
L5,2024-09-01 02:00:00,0.0
L6,2024-09-01 02:00:00,0.0
L7,2024-09-01 02:00:00,0.0
L8,2024-09-01 02:00:00,0.0
L9,2024-09-01 02:00:00,0.0
L10,2024-09-01 02:00:00,0.0
L11,2024-09-01 02:00:00,0.0
L12,2024-09-01 02:00:00,0.0
L13,2024-09-01 02:00:00,0.0
L14,2024-09-01 02:00:00,0.0
L0,2024-09-01 03:00:00,0.6732414844770784
L1,2024-09-01 03:00:00,7.705772681310119e-05
L2,2024-09-01 03:00:00,4.095132506432009e-07
L3,2024-09-01 03:00:00,2.5247337553935267e-10
L4,2024-09-01 03:00:00,6.661338147750939e-15
L5,2024-09-01 03:00:00,1.1803842570046187e-07
L6,2024-09-01 03:00:00,6.277163167034416e-08
L7,2024-09-01 03:00:00,4.5430015305214505e-10
L8,2024-09-01 03:00:00,2.7941138291964757e-10
L9,2024-09-01 03:00:00,2.616602251870326e-06
L10,2024-09-01 03:00:00,1.0
L11,2024-09-01 03:00:00,0.9999999988439818
L12,2024-09-01 03:00:00,1.8391954625940343e-12
L13,2024-09-01 03:00:00,4.910203021957216e-09
L14,2024-09-01 03:00:00,4.790451252678629e-06
L0,2024-09-01 04:00:00,3.4269361834593504e-05
L1,2024-09-01 04:00:00,4.762410431458086e-06
L2,2024-09-01 04:00:00,4.00965546933918e-05
L3,2024-09-01 04:00:00,8.44956677426012e-06
L4,2024-09-01 04:00:00,6.056726712388993e-07
L5,2024-09-01 04:00:00,0.0002379812635272
L6,2024-09-01 04:00:00,0.000138824452486
L7,2024-09-01 04:00:00,4.229055438109697e-05
L8,2024-09-01 04:00:00,2.155637594614124e-05
L9,2024-09-01 04:00:00,0.0001317774104039
L10,2024-09-01 04:00:00,2.541388643528819e-06
L11,2024-09-01 04:00:00,2.4100202114962777e-05
L12,2024-09-01 04:00:00,1.6434064820991523e-05
L13,2024-09-01 04:00:00,2.321103418911896e-05
L14,2024-09-01 04:00:00,3.2203745135794826e-05
L0,2024-09-01 05:00:00,3.8937499224900314e-08
L1,2024-09-01 05:00:00,9.050750593431191e-09
L2,2024-09-01 05:00:00,7.126026255743767e-07
L3,2024-09-01 05:00:00,1.0923152450326157e-06
L4,2024-09-01 05:00:00,1.0452491161494493e-06
L5,2024-09-01 05:00:00,1.92858417935593e-06
L6,2024-09-01 05:00:00,2.3370184041304758e-06
L7,2024-09-01 05:00:00,2.289518184817041e-06
L8,2024-09-01 05:00:00,1.6522999112256187e-06
L9,2024-09-01 05:00:00,8.654501260085823e-07
L10,2024-09-01 05:00:00,9.110506793419403e-10
L11,2024-09-01 05:00:00,1.2951511529912809e-08
L12,2024-09-01 05:00:00,3.686147946768692e-06
L13,2024-09-01 05:00:00,1.1323395743279008e-06
L14,2024-09-01 05:00:00,7.233198440204093e-08
