line_id,input_p_mean,empirical_p_mean,absolute_error_mean
L4,0.03694411528692518,0.03965928819444445,0.00271517290751927
L12,0.018345609648555732,0.020399305555555556,0.0020536959069998237
L3,0.01809277752472705,0.019368489583333332,0.0012757120586062813
L7,0.0060842766442501615,0.006456163194444444,0.0003718865501942826
L8,0.004396982938445835,0.003960503472222222,0.0004364794662236127
L13,0.004056529813746808,0.003634982638888889,0.00042154717485791936
L2,3.258908179732276e-05,5.425347222222222e-05,2.1664390424899456e-05
L5,2.487195441352429e-05,0.00016276041666666666,0.00013788846225314236
L6,2.3508660231811655e-05,0.0,2.3508660231811655e-05
L9,6.74720960185689e-06,0.0,6.74720960185689e-06
L1,1.682625778308565e-07,0.0,1.682625778308565e-07
L14,1.5609523866687445e-07,0.0,1.5609523866687445e-07
L0,1.066130186232349e-07,0.0,1.066130186232349e-07
L11,3.49237896934973e-09,0.0,3.49237896934973e-09
L10,5.867182002584749e-10,5.425347222222222e-05,5.4252885504021964e-05
