line_id,input_p_mean,empirical_p_mean,absolute_error_mean
L4,0.03694411528692518,0.9166666666666666,0.8797225513797414
L12,0.018345609648555732,0.9166666666666666,0.8983210570181109
L3,0.01809277752472705,0.9166666666666666,0.8985738891419396
L7,0.0060842766442501615,0.4010416666666667,0.39495739002241653
L8,0.004396982938445835,0.2900390625,0.2856420795615542
L13,0.004056529813746808,0.2649739583333333,0.2609174285195865
L2,3.258908179732276e-05,0.0,3.258908179732276e-05
L5,2.487195441352429e-05,0.0,2.487195441352429e-05
L6,2.3508660231811655e-05,0.0,2.3508660231811655e-05
L9,6.74720960185689e-06,0.0,6.74720960185689e-06
L1,1.682625778308565e-07,0.0,1.682625778308565e-07
L14,1.5609523866687445e-07,0.0,1.5609523866687445e-07
L0,1.066130186232349e-07,0.0,1.066130186232349e-07
L11,3.49237896934973e-09,0.0,3.49237896934973e-09
L10,5.867182002584749e-10,0.0,5.867182002584749e-10
