line_id,input_p_mean,empirical_p_mean,absolute_error_mean
L4,0.23708905533426775,0.2360568576388889,0.0010321976953788503
L10,0.23057306088557247,0.2304144965277778,0.0001585643577946827
L0,0.22588262392293265,0.22607421875,0.00019159482706734843
L11,0.22267444223048452,0.2234157986111111,0.0007413563806265844
L12,0.19804562086074615,0.1975368923611111,0.0005087284996350416
L3,0.18594897993653225,0.1852756076388889,0.0006733722976433598
L7,0.17194360651304297,0.17225477430555555,0.0003111677925125844
L8,0.17042520047796514,0.1708441840277778,0.0004189835498126515
L13,0.16159335734907007,0.16151258680555555,8.077054351451896e-05
L14,0.15268818920420027,0.15294053819444445,0.0002523489902441778
L1,0.15031495716680085,0.15152994791666666,0.0012149907498658075
L5,0.1471448668051216,0.14686414930555555,0.0002807174995660411
L2,0.14468188554687703,0.1442599826388889,0.0004219029079881309
L6,0.142912453127629,0.14241536458333334,0.0004970885442956707
L9,0.13300683661249002,0.1328125,0.00019433661249002032
