line_id,input_p_mean,empirical_p_mean,absolute_error_mean
L4,0.23708905533426775,0.2411566840277778,0.004067628693510045
L10,0.23057306088557247,0.2387152777777778,0.008142216892205317
L0,0.22588262392293265,0.23600260416666666,0.010119980243734006
L11,0.22267444223048452,0.2297092013888889,0.0070347591584043745
L12,0.19804562086074615,0.19911024305555555,0.001064622194809406
L3,0.18594897993653225,0.18603515625,8.617631346774512e-05
L7,0.17194360651304297,0.17225477430555555,0.0003111677925125844
L8,0.17042520047796514,0.1708984375,0.0004732370220348614
L13,0.16159335734907007,0.1605902777777778,0.0010030795712922813
L14,0.15268818920420027,0.14615885416666666,0.006529335037533612
L1,0.15031495716680085,0.14442274305555555,0.0058922141112452975
L5,0.1471448668051216,0.1460503472222222,0.0010945195828993837
L2,0.14468188554687703,0.1438259548611111,0.000855930685765921
L6,0.142912453127629,0.1416558159722222,0.0012566371554068034
L9,0.13300683661249002,0.13096788194444445,0.002038954668045573
