"scenario","scenario_id","timestamp","failed_lines","outage_line_count","disconnected_load_count","probability","method"
"S1","0","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S2","1","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S3","2","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S4","3","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S5","4","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S6","5","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S7","6","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S8","7","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S9","8","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S10","9","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S11","10","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S12","11","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S13","12","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S14","13","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S15","14","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S16","15","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S17","16","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S18","17","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S19","18","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S20","19","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S21","20","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S22","21","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S23","22","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S24","23","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S25","24","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S26","25","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S27","26","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S28","27","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S29","28","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S30","29","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S31","30","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S32","31","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S33","32","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S34","33","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S35","34","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S36","35","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S37","36","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S38","37","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S39","38","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S40","39","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S41","40","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S42","41","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S43","42","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S44","43","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S45","44","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S46","45","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S47","46","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S48","47","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S49","48","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S50","49","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S51","50","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S52","51","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S53","52","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S54","53","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S55","54","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S56","55","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S57","56","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S58","57","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S59","58","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S60","59","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S61","60","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S62","61","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S63","62","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S64","63","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S65","64","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S66","65","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S67","66","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S68","67","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S69","68","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S70","69","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S71","70","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S72","71","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S73","72","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S74","73","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S75","74","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S76","75","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S77","76","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S78","77","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S79","78","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S80","79","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S81","80","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S82","81","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S83","82","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S84","83","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S85","84","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S86","85","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S87","86","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S88","87","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S89","88","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S90","89","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S91","90","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S92","91","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S93","92","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S94","93","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S95","94","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S96","95","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S97","96","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S98","97","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S99","98","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S100","99","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S101","100","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S102","101","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S103","102","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S104","103","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S105","104","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S106","105","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S107","106","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S108","107","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S109","108","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S110","109","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S111","110","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S112","111","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S113","112","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S114","113","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S115","114","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S116","115","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S117","116","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S118","117","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S119","118","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S120","119","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S121","120","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S122","121","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S123","122","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
